"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"Delaware",".19 - 64 years","586","3","529","6","90.40000000000001","0.9","436","10","74.5","1.7","380","11","64.8","1.8","62","5","10.6","0.9","18","3","3","0.5","116","8","19.8","1.4","97","8","16.5","1.3","13","2","2.3","0.4","22","3","3.8","0.6","6","1","1","0.2","11","2","1.9","0.4","10","2","1.7","0.4","56","5","9.6","0.9"
"Delaware",".65 years and over","224","1","222","1","99","0.5","144","5","64.2","2","89","5","39.8","2.1","72","4","32","1.8","14","2","6.4","0.9","214","2","95.90000000000001","0.7","25","3","11.3","1.3","13","2","5.7","0.9","214","2","95.7","0.8","136","4","61","2","25","3","11.3","1.3","13","2","5.9","0.7","2","1","1","0.5"
"District of Columbia","All people","692","1","661","5","95.5","0.7","481","12","69.40000000000001","1.8","420","12","60.6","1.7","71","6","10.3","0.8","13","4","1.9","0.5","240","11","34.6","1.6","176","11","25.4","1.7","18","4","2.6","0.5","92","3","13.2","0.4","45","3","6.5","0.5","32","3","4.6","0.4","8","1","1.1","0.2","31","5","4.5","0.7"
"District of Columbia",".Under 65 years","604","1","574","5","95","0.8","431","12","71.3","1.9","380","12","62.9","1.9","56","5","9.300000000000001","0.8","10","3","1.7","0.5","158","11","26.2","1.8","150","11","24.8","1.8","12","3","2","0.5","11","3","1.8","0.5","2","1","0.3","0.1","6","2","1","0.3","5","1","0.8","0.2","30","5","5","0.8"
"District of Columbia",".Under 19 years","139","2","136","3","97.3","1.3","76","6","54.2","4.3","66","5","47.6","3.9","8","2","5.9","1.6","4","2","2.8","1.6","63","6","45.3","4.1","62","6","44.4","4.3","3","2","2.2","1.2","2","1","1.5","1","0","0","0","0","1","1","0.7","0.7","0","0","0","0","4","2","2.7","1.3"
"District of Columbia",".19 - 64 years","464","2","438","4","94.3","0.9","355","8","76.5","1.6","314","8","67.59999999999999","1.7","48","4","10.3","0.9","6","2","1.4","0.3","95","7","20.5","1.6","88","7","18.9","1.5","9","2","2","0.5","9","2","1.9","0.5","2","1","0.3","0.2","5","1","1","0.3","5","1","1","0.3","26","4","5.7","0.9"
"District of Columbia",".65 years and over","88","Z","87","1","98.90000000000001","0.6","50","3","56.6","3.5","40","3","44.9","3.4","15","2","17","2.4","3","1","3.1","1.1","81","1","91.90000000000001","1.4","26","3","29.4","2.9","5","1","6.1","1.4","81","1","91.7","1.4","44","3","49.3","3.4","26","3","29.4","2.9","3","1","3.3","1","1","1","1.1","0.6"
"Florida","All people","23040","7","20530","47","89.09999999999999","0.2","15070","77","65.40000000000001","0.3","10550","73","45.8","0.3","4662","54","20.2","0.2","855","27","3.7","0.1","8253","61","35.8","0.3","3746","64","16.3","0.3","635","21","2.8","0.1","5168","15","22.4","0.1","2207","23","9.6","0.1","948","20","4.1","0.1","678","15","2.9","0.1","2510","47","10.9","0.2"
"Florida",".Under 65 years","18050","9","15590","45","86.40000000000001","0.2","12770","71","70.8","0.4","9404","68","52.1","0.4","3422","52","19","0.3","526","23","2.9","0.1","3515","62","19.5","0.3","2996","57","16.6","0.3","419","18","2.3","0.1","435","12","2.4","0.1","114","5","0.6","Z","198","9","1.1","Z","331","12","1.8","0.1","2461","45","13.6","0.2"
"Florida",".Under 19 years","4759","9","4356","21","91.5","0.4","2823","36","59.3","0.8","2109","30","44.3","0.6","663","24","13.9","0.5","171","13","3.6","0.3","1727","36","36.3","0.8","1700","36","35.7","0.8","185","13","3.9","0.3","31","5","0.6","0.1","6","1","0.1","Z","16","4","0.3","0.1","17","4","0.4","0.1","403","20","8.5","0.4"
"Florida",".19 - 64 years","13290","12","11230","35","84.5","0.2","9946","47","74.8","0.3","7295","51","54.9","0.4","2759","39","20.8","0.3","355","15","2.7","0.1","1788","36","13.5","0.3","1296","31","9.800000000000001","0.2","234","12","1.8","0.1","404","11","3","0.1","108","5","0.8","Z","181","8","1.4","0.1","314","11","2.4","0.1","2058","32","15.5","0.2"
"Florida",".65 years and over","4991","5","4942","6","99","0.1","2300","23","46.1","0.5","1146","19","23","0.4","1240","19","24.8","0.4","329","13","6.6","0.3","4738","10","94.90000000000001","0.2","750","18","15","0.4","215","9","4.3","0.2","4734","9","94.8","0.2","2094","21","42","0.4","750","18","15","0.4","347","9","7","0.2","49","5","1","0.1"
"Georgia","All people","10990","4","9675","31","88","0.3","7390","45","67.2","0.4","5902","47","53.7","0.4","1579","28","14.4","0.3","427","17","3.9","0.2","3510","37","31.9","0.3","1865","36","17","0.3","372","15","3.4","0.1","1861","11","16.9","0.1","879","12","8","0.1","369","11","3.4","0.1","295","11","2.7","0.1","1314","31","12","0.3"
"Georgia",".Under 65 years","9260","7","7963","31","86","0.3","6509","43","70.3","0.5","5388","45","58.2","0.5","1162","27","12.5","0.3","295","16","3.2","0.2","1861","36","20.1","0.4","1592","33","17.2","0.4","254","13","2.7","0.1","214","8","2.3","0.1","62","5","0.7","Z","96","6","1","0.1","178","10","1.9","0.1","1296","31","14","0.3"
"Georgia",".Under 19 years","2696","9","2482","15","92.09999999999999","0.5","1594","23","59.1","0.9","1330","24","49.3","0.9","232","12","8.6","0.5","100","8","3.7","0.3","1021","24","37.9","0.9","1004","23","37.3","0.9","127","10","4.7","0.4","18","3","0.7","0.1","3","1","0.1","0.1","7","2","0.3","0.1","9","3","0.3","0.1","214","14","7.9","0.5"
"Georgia",".19 - 64 years","6564","12","5482","25","83.5","0.4","4915","31","74.90000000000001","0.4","4058","31","61.8","0.5","929","20","14.2","0.3","194","11","3","0.2","840","20","12.8","0.3","588","17","9","0.3","128","8","1.9","0.1","197","8","3","0.1","59","4","0.9","0.1","89","6","1.4","0.1","170","9","2.6","0.1","1082","24","16.5","0.4"
"Georgia",".65 years and over","1729","6","1711","6","99","0.2","880","11","50.9","0.6","514","10","29.7","0.6","417","11","24.1","0.6","132","6","7.7","0.4","1648","7","95.3","0.3","273","9","15.8","0.5","118","7","6.8","0.4","1646","7","95.2","0.3","816","11","47.2","0.7","273","9","15.8","0.5","116","5","6.7","0.3","18","3","1","0.2"
"Hawaii","All people","1387","3","1339","6","96.5","0.4","1034","15","74.59999999999999","1","847","13","61.1","0.9","188","10","13.5","0.7","108","7","7.8","0.5","556","14","40.1","1","279","14","20.1","1","54","5","3.9","0.3","304","3","21.9","0.2","201","5","14.5","0.4","45","3","3.3","0.2","43","4","3.1","0.3","48","5","3.5","0.4"
"Hawaii",".Under 65 years","1080","3","1034","6","95.7","0.5","823","13","76.2","1.2","691","12","63.9","1.1","113","9","10.4","0.8","77","7","7.1","0.6","268","13","24.8","1.2","241","13","22.3","1.2","38","4","3.5","0.4","16","2","1.5","0.2","7","1","0.6","0.1","7","1","0.7","0.1","20","3","1.8","0.3","47","5","4.3","0.5"
"Hawaii",".Under 19 years","307","2","298","3","97.09999999999999","0.7","199","8","64.59999999999999","2.6","147","8","47.9","2.4","30","5","9.9","1.5","35","4","11.3","1.3","116","9","37.8","2.8","114","9","37.2","2.8","16","3","5.2","0.9","1","Z","0.3","0.2","1","Z","0.2","0.1","Z","Z","0.1","0.1","1","1","0.4","0.4","9","2","2.9","0.7"
"Hawaii",".19 - 64 years","773","4","736","5","95.09999999999999","0.6","625","8","80.8","1","544","7","70.3","0.9","82","6","10.6","0.8","42","4","5.4","0.5","152","7","19.6","0.8","127","7","16.4","0.8","22","3","2.9","0.3","15","2","1.9","0.2","6","1","0.8","0.1","7","1","0.9","0.2","18","2","2.4","0.3","38","4","4.9","0.6"
"Hawaii",".65 years and over","306","1","305","1","99.5","0.2","211","5","68.90000000000001","1.5","156","5","50.9","1.5","75","4","24.4","1.2","31","3","10.2","0.8","288","3","94.09999999999999","0.9","38","3","12.3","1","16","2","5.3","0.7","288","3","93.90000000000001","0.9","194","5","63.3","1.6","38","3","12.3","1","24","2","7.7","0.8","1","1","0.5","0.2"
"Idaho","All people","1975","1","1793","12","90.8","0.6","1378","17","69.8","0.9","1071","17","54.3","0.8","318","11","16.1","0.6","75","6","3.8","0.3","666","13","33.7","0.6","320","12","16.2","0.6","68","6","3.5","0.3","376","4","19","0.2","182","6","9.199999999999999","0.3","54","4","2.8","0.2","59","4","3","0.2","182","12","9.199999999999999","0.6"
"Idaho",".Under 65 years","1628","2","1448","12","89","0.7","1199","16","73.7","1","1004","16","61.7","1","201","10","12.4","0.6","47","5","2.9","0.3","330","12","20.3","0.8","287","12","17.6","0.7","55","6","3.4","0.4","40","3","2.4","0.2","12","2","0.7","0.1","21","3","1.3","0.2","30","3","1.9","0.2","180","12","11","0.7"
"Idaho",".Under 19 years","497","3","457","7","91.90000000000001","1.1","342","8","68.7","1.5","289","9","58","1.7","48","4","9.6","0.9","17","3","3.3","0.6","146","8","29.3","1.6","144","8","28.9","1.6","29","4","5.8","0.8","3","1","0.6","0.2","1","1","0.2","0.1","2","1","0.3","0.1","2","1","0.3","0.1","40","6","8.1","1.1"
"Idaho",".19 - 64 years","1130","3","991","8","87.7","0.7","858","11","75.90000000000001","0.9","715","11","63.3","1","154","7","13.6","0.7","30","3","2.7","0.3","184","7","16.3","0.6","143","7","12.7","0.6","26","3","2.3","0.3","36","3","3.2","0.3","11","2","1","0.2","20","3","1.7","0.2","29","3","2.5","0.2","139","8","12.3","0.7"
"Idaho",".65 years and over","347","2","345","2","99.40000000000001","0.2","179","6","51.6","1.6","67","4","19.4","1","117","5","33.8","1.6","28","3","8.1","0.8","336","2","96.90000000000001","0.4","33","3","9.5","0.8","13","2","3.7","0.4","336","2","96.8","0.4","170","5","49","1.5","33","3","9.5","0.8","29","3","8.4","0.7","2","1","0.6","0.2"
"Illinois","All people","12540","2","11680","25","93.09999999999999","0.2","8709","40","69.5","0.3","7423","37","59.2","0.3","1562","27","12.5","0.2","149","8","1.2","0.1","4370","28","34.9","0.2","2364","30","18.9","0.2","317","13","2.5","0.1","2298","12","18.3","0.1","1133","14","9","0.1","367","11","2.9","0.1","191","8","1.5","0.1","861","25","6.9","0.2"
"Illinois",".Under 65 years","10330","4","9486","25","91.90000000000001","0.2","7518","37","72.8","0.4","6752","34","65.40000000000001","0.3","927","24","9","0.2","97","8","0.9","0.1","2289","26","22.2","0.3","2104","29","20.4","0.3","232","13","2.2","0.1","219","10","2.1","0.1","53","5","0.5","Z","107","8","1","0.1","87","6","0.8","0.1","842","25","8.1","0.2"
"Illinois",".Under 19 years","2853","7","2749","11","96.40000000000001","0.3","1841","21","64.5","0.7","1680","20","58.9","0.7","175","11","6.1","0.4","32","4","1.1","0.1","1029","20","36.1","0.7","1019","20","35.7","0.7","116","9","4.1","0.3","16","3","0.6","0.1","4","1","0.1","Z","9","3","0.3","0.1","4","2","0.2","0.1","104","9","3.6","0.3"
"Illinois",".19 - 64 years","7475","8","6738","23","90.09999999999999","0.3","5677","28","75.90000000000001","0.4","5072","27","67.8","0.3","751","18","10.1","0.2","64","6","0.9","0.1","1260","18","16.9","0.2","1085","19","14.5","0.3","115","6","1.5","0.1","203","9","2.7","0.1","50","5","0.7","0.1","97","7","1.3","0.1","83","5","1.1","0.1","738","20","9.9","0.3"
"Illinois",".65 years and over","2209","3","2190","5","99.09999999999999","0.1","1191","13","53.9","0.6","671","11","30.4","0.5","636","10","28.8","0.5","52","4","2.4","0.2","2081","8","94.2","0.3","261","9","11.8","0.4","86","4","3.9","0.2","2079","8","94.09999999999999","0.3","1080","12","48.9","0.5","261","9","11.8","0.4","104","5","4.7","0.2","19","3","0.9","0.1"
"Indiana","All people","6829","1","6316","18","92.5","0.3","4590","36","67.2","0.5","3862","35","56.6","0.5","858","20","12.6","0.3","113","8","1.7","0.1","2536","33","37.1","0.5","1405","31","20.6","0.5","226","15","3.3","0.2","1285","9","18.8","0.1","613","11","9","0.2","208","8","3.1","0.1","147","6","2.1","0.1","513","18","7.5","0.3"
"Indiana",".Under 65 years","5648","5","5144","19","91.09999999999999","0.3","3985","34","70.59999999999999","0.6","3563","34","63.1","0.6","506","18","9","0.3","70","7","1.2","0.1","1401","32","24.8","0.6","1269","31","22.5","0.5","174","15","3.1","0.3","151","7","2.7","0.1","47","5","0.8","0.1","73","5","1.3","0.1","68","5","1.2","0.1","505","18","8.9","0.3"
"Indiana",".Under 19 years","1673","6","1571","9","93.90000000000001","0.5","1025","17","61.3","1","928","17","55.5","1","107","8","6.4","0.5","22","4","1.3","0.2","635","18","37.9","1.1","629","18","37.6","1.1","88","9","5.2","0.6","10","3","0.6","0.2","2","1","0.1","0.1","6","2","0.4","0.1","2","1","0.1","0.1","102","8","6.1","0.5"
"Indiana",".19 - 64 years","3976","8","3573","16","89.90000000000001","0.4","2960","23","74.40000000000001","0.6","2635","22","66.3","0.5","399","13","10","0.3","47","4","1.2","0.1","767","17","19.3","0.4","640","16","16.1","0.4","86","7","2.2","0.2","142","6","3.6","0.2","45","4","1.1","0.1","67","5","1.7","0.1","65","5","1.6","0.1","403","14","10.1","0.4"
"Indiana",".65 years and over","1181","4","1172","5","99.3","0.1","605","10","51.2","0.9","299","9","25.3","0.8","351","7","29.8","0.6","43","4","3.6","0.3","1135","5","96.09999999999999","0.3","136","5","11.5","0.4","52","3","4.4","0.3","1133","5","96","0.3","566","10","48","0.8","136","5","11.5","0.4","79","4","6.7","0.3","8","1","0.7","0.1"
"Iowa","All people","3196","1","3022","10","94.59999999999999","0.3","2281","20","71.40000000000001","0.6","1840","19","57.6","0.6","513","11","16","0.4","58","6","1.8","0.2","1171","16","36.6","0.5","609","16","19.1","0.5","115","8","3.6","0.2","623","5","19.5","0.2","329","7","10.3","0.2","90","5","2.8","0.2","74","4","2.3","0.1","174","10","5.4","0.3"
"Iowa",".Under 65 years","2610","2","2438","10","93.40000000000001","0.4","1948","19","74.7","0.8","1721","20","66","0.8","272","11","10.4","0.4","38","5","1.5","0.2","605","16","23.2","0.6","551","15","21.1","0.6","86","7","3.3","0.3","57","5","2.2","0.2","13","2","0.5","0.1","32","4","1.2","0.1","33","3","1.3","0.1","172","10","6.6","0.4"
"Iowa",".Under 19 years","774","5","745","6","96.2","0.5","505","9","65.2","1.2","457","9","59.1","1.2","50","5","6.5","0.6","13","3","1.7","0.4","287","10","37","1.2","284","9","36.7","1.2","46","5","5.9","0.7","3","1","0.4","0.2","1","1","0.1","0.1","2","1","0.3","0.1","2","1","0.2","0.1","30","4","3.8","0.5"
"Iowa",".19 - 64 years","1835","5","1693","8","92.3","0.4","1443","14","78.59999999999999","0.8","1264","14","68.90000000000001","0.8","222","9","12.1","0.5","25","3","1.4","0.2","318","10","17.3","0.5","267","9","14.5","0.5","40","3","2.2","0.2","54","4","2.9","0.2","12","2","0.7","0.1","30","3","1.6","0.2","32","3","1.7","0.2","142","8","7.7","0.4"
"Iowa",".65 years and over","586","2","584","2","99.59999999999999","0.1","333","7","56.8","1.1","118","4","20.2","0.7","240","6","41","1.1","20","2","3.4","0.4","566","3","96.59999999999999","0.3","58","4","9.9","0.6","29","3","4.9","0.4","566","3","96.5","0.3","316","7","53.8","1.1","58","4","9.9","0.6","40","3","6.9","0.4","3","1","0.4","0.1"
"Kansas","All people","2907","2","2659","12","91.5","0.4","2146","18","73.8","0.6","1711","18","58.9","0.6","470","14","16.2","0.5","116","8","4","0.3","888","15","30.6","0.5","389","15","13.4","0.5","89","8","3.1","0.3","548","5","18.9","0.2","292","7","10","0.3","79","5","2.7","0.2","71","4","2.5","0.2","248","12","8.5","0.4"
"Kansas",".Under 65 years","2392","4","2147","12","89.7","0.5","1852","17","77.40000000000001","0.7","1600","18","66.90000000000001","0.8","275","12","11.5","0.5","82","7","3.4","0.3","394","15","16.5","0.6","339","15","14.2","0.6","66","7","2.8","0.3","54","4","2.3","0.2","17","2","0.7","0.1","29","4","1.2","0.2","34","3","1.4","0.1","246","12","10.3","0.5"
"Kansas",".Under 19 years","731","4","679","5","93","0.7","505","10","69.2","1.3","436","9","59.7","1.3","60","5","8.199999999999999","0.6","32","4","4.4","0.6","214","10","29.3","1.4","213","10","29.1","1.4","39","5","5.4","0.7","4","1","0.6","0.2","2","1","0.2","0.1","3","1","0.4","0.2","1","1","0.2","0.1","51","5","7","0.7"
"Kansas",".19 - 64 years","1662","6","1467","11","88.3","0.6","1347","12","81.09999999999999","0.7","1163","14","70","0.8","215","10","13","0.6","50","4","3","0.3","180","7","10.8","0.4","126","6","7.6","0.4","27","3","1.6","0.2","50","4","3","0.2","15","2","0.9","0.1","26","3","1.6","0.2","33","3","2","0.2","194","9","11.7","0.6"
"Kansas",".65 years and over","515","3","512","3","99.5","0.2","294","6","57","1.2","111","5","21.6","0.9","195","6","37.8","1.2","34","3","6.6","0.6","494","4","96","0.4","50","3","9.699999999999999","0.6","23","2","4.5","0.5","494","3","95.90000000000001","0.4","275","6","53.4","1.2","50","3","9.699999999999999","0.6","37","3","7.2","0.5","2","1","0.5","0.2"
"Kentucky","All people","4508","2","4199","14","93.2","0.3","2843","29","63.1","0.7","2386","30","52.9","0.7","518","16","11.5","0.4","134","9","3","0.2","1960","24","43.5","0.5","1182","24","26.2","0.5","183","9","4.1","0.2","921","9","20.4","0.2","448","9","9.9","0.2","186","8","4.1","0.2","113","5","2.5","0.1","309","14","6.8","0.3"
"Kentucky",".Under 65 years","3704","4","3400","14","91.8","0.4","2409","27","65","0.7","2135","27","57.6","0.7","293","14","7.9","0.4","88","8","2.4","0.2","1181","24","31.9","0.6","1062","23","28.7","0.6","139","8","3.7","0.2","143","7","3.9","0.2","34","3","0.9","0.1","65","5","1.8","0.1","56","4","1.5","0.1","304","14","8.199999999999999","0.4"
"Kentucky",".Under 19 years","1080","5","1026","9","95","0.6","608","13","56.3","1.2","534","12","49.4","1.2","64","7","5.9","0.6","34","5","3.2","0.5","483","14","44.7","1.2","479","14","44.3","1.2","63","5","5.8","0.5","7","2","0.6","0.2","1","Z","0.1","Z","3","1","0.3","0.1","2","1","0.2","0.1","54","7","5","0.6"
"Kentucky",".19 - 64 years","2624","6","2374","12","90.5","0.4","1801","19","68.59999999999999","0.7","1601","18","61","0.7","230","9","8.699999999999999","0.4","54","4","2","0.2","698","16","26.6","0.6","583","14","22.2","0.6","76","5","2.9","0.2","136","7","5.2","0.3","33","3","1.2","0.1","62","4","2.4","0.2","53","4","2","0.1","250","10","9.5","0.4"
"Kentucky",".65 years and over","804","3","799","3","99.40000000000001","0.2","434","9","54","1.1","251","8","31.2","1","225","7","28","0.9","46","4","5.7","0.5","779","4","96.90000000000001","0.3","121","6","15","0.7","45","3","5.6","0.4","778","4","96.7","0.3","414","9","51.5","1.1","121","6","15","0.7","57","3","7.1","0.4","5","1","0.6","0.2"
"Louisiana","All people","4505","2","4157","14","92.3","0.3","2628","33","58.3","0.7","2138","33","47.4","0.7","556","18","12.3","0.4","127","9","2.8","0.2","2087","26","46.3","0.6","1362","27","30.2","0.6","190","10","4.2","0.2","893","9","19.8","0.2","393","10","8.699999999999999","0.2","214","9","4.7","0.2","111","6","2.5","0.1","348","14","7.7","0.3"
"Louisiana",".Under 65 years","3708","4","3364","14","90.7","0.4","2235","31","60.3","0.8","1907","30","51.4","0.8","363","16","9.800000000000001","0.4","86","9","2.3","0.2","1322","27","35.7","0.7","1224","26","33","0.7","148","9","4","0.3","129","8","3.5","0.2","29","3","0.8","0.1","75","6","2","0.2","58","5","1.6","0.1","344","14","9.300000000000001","0.4"
"Louisiana",".Under 19 years","1124","5","1078","9","95.90000000000001","0.5","544","16","48.4","1.4","456","15","40.6","1.3","83","8","7.3","0.7","32","5","2.8","0.4","595","16","53","1.3","589","16","52.4","1.4","60","6","5.4","0.5","13","3","1.1","0.3","1","1","0.1","0.1","8","2","0.7","0.2","3","1","0.2","0.1","46","6","4.1","0.5"
"Louisiana",".19 - 64 years","2584","6","2286","14","88.5","0.5","1691","19","65.40000000000001","0.7","1451","20","56.1","0.8","280","11","10.8","0.4","54","6","2.1","0.2","727","17","28.1","0.7","634","16","24.5","0.6","87","7","3.4","0.3","116","7","4.5","0.3","28","3","1.1","0.1","67","5","2.6","0.2","56","5","2.2","0.2","298","12","11.5","0.5"
"Louisiana",".65 years and over","797","4","793","4","99.5","0.2","393","9","49.2","1.1","230","7","28.9","0.9","193","8","24.2","1","41","4","5.2","0.4","765","5","96","0.3","139","6","17.4","0.8","42","3","5.3","0.4","764","5","95.8","0.3","364","9","45.7","1.1","139","6","17.4","0.8","52","4","6.5","0.4","4","1","0.5","0.2"
"Maine","All people","1386","1","1309","5","94.5","0.4","952","10","68.7","0.7","757","12","54.6","0.9","202","8","14.5","0.6","49","5","3.5","0.3","566","10","40.8","0.7","280","11","20.2","0.8","60","6","4.3","0.4","350","4","25.2","0.3","164","5","11.9","0.3","79","5","5.7","0.4","48","4","3.5","0.3","77","6","5.5","0.4"
"Maine",".Under 65 years","1066","2","991","5","92.90000000000001","0.5","787","9","73.8","0.9","676","12","63.3","1.1","112","7","10.5","0.7","24","4","2.3","0.4","257","10","24.1","0.9","228","10","21.4","0.9","38","5","3.6","0.5","41","3","3.8","0.3","9","2","0.8","0.1","27","3","2.5","0.3","20","2","1.9","0.2","76","6","7.1","0.5"
"Maine",".Under 19 years","261","2","250","3","95.5","0.7","173","5","66.3","2","154","6","58.7","2.2","16","3","6.2","1","8","2","3.1","0.8","94","5","35.9","2","92","5","35.3","2","17","3","6.3","1.1","2","1","0.6","0.3","Z","Z","0.1","0.1","1","1","0.4","0.2","2","1","0.6","0.2","12","2","4.5","0.7"
"Maine",".19 - 64 years","805","2","741","5","92.09999999999999","0.6","614","7","76.2","0.9","522","9","64.8","1.1","96","6","11.9","0.7","16","3","2","0.3","163","7","20.3","0.8","136","6","16.9","0.8","22","3","2.7","0.4","39","3","4.9","0.4","9","2","1.1","0.2","26","3","3.2","0.4","18","2","2.3","0.3","64","5","7.9","0.6"
"Maine",".65 years and over","320","1","319","2","99.59999999999999","0.2","165","5","51.7","1.5","82","4","25.6","1.2","89","3","27.9","1","24","3","7.5","0.9","309","2","96.59999999999999","0.5","52","3","16.2","1.1","22","2","6.8","0.6","309","2","96.5","0.5","155","4","48.6","1.4","52","3","16.2","1.1","28","2","8.800000000000001","0.8","1","1","0.4","0.2"
"Maryland","All people","6168","3","5777","21","93.7","0.3","4520","34","73.3","0.6","3804","39","61.7","0.6","842","22","13.7","0.4","237","14","3.8","0.2","2158","30","35","0.5","1178","31","19.1","0.5","229","12","3.7","0.2","1101","10","17.8","0.2","697","9","11.3","0.2","195","8","3.2","0.1","141","8","2.3","0.1","391","21","6.3","0.3"
"Maryland",".Under 65 years","5092","5","4715","20","92.59999999999999","0.4","3788","33","74.40000000000001","0.7","3283","36","64.5","0.7","541","20","10.6","0.4","167","12","3.3","0.2","1167","30","22.9","0.6","1039","29","20.4","0.6","161","11","3.2","0.2","110","7","2.2","0.1","36","4","0.7","0.1","56","5","1.1","0.1","84","7","1.6","0.1","377","21","7.4","0.4"
"Maryland",".Under 19 years","1448","5","1381","10","95.40000000000001","0.6","950","18","65.59999999999999","1.2","826","19","57","1.3","116","9","8","0.6","57","6","4","0.4","501","18","34.6","1.2","491","18","33.9","1.3","67","7","4.7","0.5","12","3","0.8","0.2","3","1","0.2","0.1","6","2","0.4","0.1","4","2","0.3","0.1","67","9","4.6","0.6"
"Maryland",".19 - 64 years","3644","7","3334","16","91.5","0.4","2837","22","77.90000000000001","0.6","2457","23","67.40000000000001","0.6","425","16","11.7","0.4","110","8","3","0.2","666","19","18.3","0.5","548","18","15","0.5","94","6","2.6","0.2","98","6","2.7","0.2","33","4","0.9","0.1","51","4","1.4","0.1","79","6","2.2","0.2","310","16","8.5","0.4"
"Maryland",".65 years and over","1075","3","1062","4","98.7","0.2","732","9","68.09999999999999","0.8","521","9","48.4","0.9","301","9","28","0.8","70","5","6.5","0.5","991","6","92.2","0.5","138","6","12.9","0.6","68","4","6.3","0.4","990","6","92.09999999999999","0.5","661","9","61.5","0.8","138","6","12.9","0.6","58","4","5.4","0.3","14","3","1.3","0.2"
"Massachusetts","All people","7071","2","6872","12","97.2","0.2","5170","29","73.09999999999999","0.4","4362","33","61.7","0.5","1016","21","14.4","0.3","85","7","1.2","0.1","2646","27","37.4","0.4","1588","28","22.5","0.4","287","14","4.1","0.2","1338","10","18.9","0.1","727","11","10.3","0.2","311","10","4.4","0.1","100","5","1.4","0.1","199","12","2.8","0.2"
"Massachusetts",".Under 65 years","5771","2","5580","12","96.7","0.2","4396","27","76.2","0.5","3879","30","67.2","0.5","640","19","11.1","0.3","43","6","0.7","0.1","1433","26","24.8","0.5","1361","27","23.6","0.5","208","12","3.6","0.2","126","9","2.2","0.1","33","4","0.6","0.1","84","6","1.5","0.1","40","4","0.7","0.1","191","12","3.3","0.2"
"Massachusetts",".Under 19 years","1455","5","1424","6","97.90000000000001","0.4","1004","14","69","1","897","14","61.7","1","128","9","8.800000000000001","0.6","14","3","1","0.2","508","14","34.9","0.9","505","14","34.7","0.9","87","7","6","0.5","10","3","0.7","0.2","1","1","0.1","Z","7","2","0.5","0.2","3","2","0.2","0.1","31","5","2.1","0.4"
"Massachusetts",".19 - 64 years","4316","6","4156","12","96.3","0.2","3392","19","78.59999999999999","0.4","2982","23","69.09999999999999","0.5","511","15","11.8","0.3","29","4","0.7","0.1","925","19","21.4","0.4","856","19","19.8","0.4","121","9","2.8","0.2","117","7","2.7","0.2","32","4","0.7","0.1","77","5","1.8","0.1","37","3","0.9","0.1","160","9","3.7","0.2"
"Massachusetts",".65 years and over","1300","2","1292","2","99.40000000000001","0.1","774","10","59.6","0.8","483","10","37.1","0.8","377","10","29","0.7","42","4","3.3","0.3","1213","6","93.3","0.4","227","7","17.5","0.6","79","5","6.1","0.4","1212","6","93.2","0.4","695","11","53.4","0.8","227","7","17.5","0.6","61","4","4.7","0.3","7","2","0.6","0.1"
