"Nation/State","Characteristic","Total",NA,"Covered by any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by government health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Employment-based",NA,NA,NA,"Direct Purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Also by Medicaid",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA
NA,NA,"Number","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA
NA,"65 years and over","47906","22","47533","27","99.200000000000003","Z","28991","79","60.5","0.20000000000000001","15660","64","32.700000000000003","0.10000000000000001","15316","61","32","0.10000000000000001","2784","31","5.7999999999999998","0.10000000000000001","46079","38","96.200000000000003","0.10000000000000001","6678","41","13.9","0.10000000000000001","2373","27","5","0.10000000000000001","46015","37","96.099999999999994","0.10000000000000001","27506","80","57.399999999999999","0.20000000000000001","6678","41","13.9","0.10000000000000001","3962","28","8.3000000000000007","0.10000000000000001","373","12","0.80000000000000004","Z"
"Alabama","All persons","4783","2","4348","14","90.900000000000006","0.29999999999999999","3249","24","67.900000000000006","0.5","2560","26","53.5","0.5","712","16","14.9","0.29999999999999999","215","10","4.5","0.20000000000000001","1762","19","36.899999999999999","0.40000000000000002","962","18","20.100000000000001","0.40000000000000002","159","8","3.2999999999999998","0.20000000000000001","948","9","19.800000000000001","0.20000000000000001","540","8","11.300000000000001","0.20000000000000001","198","6","4.0999999999999996","0.10000000000000001","137","5","2.8999999999999999","0.10000000000000001","435","14","9.0999999999999996","0.29999999999999999"
NA,"Under 65 years","4020","3","3588","14","89.299999999999997","0.40000000000000002","2764","24","68.799999999999997","0.59999999999999998","2301","26","57.200000000000003","0.59999999999999998","461","15","11.5","0.40000000000000002","136","10","3.3999999999999999","0.29999999999999999","1017","18","25.300000000000001","0.5","846","18","21","0.40000000000000002","108","7","2.7000000000000002","0.20000000000000001","204","8","5.0999999999999996","0.20000000000000001","70","4","1.7","0.10000000000000001","82","4","2","0.10000000000000001","67","4","1.7","0.10000000000000001","432","14","10.699999999999999","0.40000000000000002"
NA,"Under 19 years","1170","5","1138","6","97.299999999999997","0.29999999999999999","653","14","55.799999999999997","1.1000000000000001","556","13","47.5","1.1000000000000001","80","6","6.7999999999999998","0.5","41","5","3.5","0.40000000000000002","525","13","44.799999999999997","1.1000000000000001","519","13","44.299999999999997","1.1000000000000001","37","4","3.2000000000000002","0.29999999999999999","7","2","0.59999999999999998","0.20000000000000001","2","1","0.20000000000000001","0.10000000000000001","3","1","0.29999999999999999","0.10000000000000001","2","1","0.20000000000000001","0.10000000000000001","32","4","2.7000000000000002","0.29999999999999999"
NA,"19 - 64 years","2849","6","2449","15","86","0.5","2111","16","74.099999999999994","0.59999999999999998","1745","19","61.200000000000003","0.59999999999999998","381","12","13.4","0.40000000000000002","95","7","3.2999999999999998","0.20000000000000001","492","11","17.300000000000001","0.40000000000000002","327","10","11.5","0.29999999999999999","70","4","2.5","0.20000000000000001","196","7","6.9000000000000004","0.29999999999999999","68","4","2.3999999999999999","0.10000000000000001","79","4","2.7999999999999998","0.10000000000000001","65","4","2.2999999999999998","0.10000000000000001","400","13","14","0.5"
NA,"65 years and over","763","3","760","3","99.599999999999994","0.20000000000000001","485","8","63.600000000000001","1","259","7","33.899999999999999","0.80000000000000004","251","6","32.899999999999999","0.80000000000000004","79","4","10.4","0.5","745","3","97.700000000000003","0.29999999999999999","117","5","15.300000000000001","0.59999999999999998","52","3","6.7999999999999998","0.40000000000000002","744","3","97.599999999999994","0.29999999999999999","470","8","61.600000000000001","1","117","5","15.300000000000001","0.59999999999999998","70","3","9.1999999999999993","0.40000000000000002","3","1","0.40000000000000002","0.20000000000000001"
"Alaska","All persons","718","2","618","6","86","0.90000000000000002","483","9","67.299999999999997","1.2","395","9","55","1.2","56","5","7.7999999999999998","0.69999999999999996","71","6","9.8000000000000007","0.90000000000000002","211","6","29.399999999999999","0.90000000000000002","131","6","18.300000000000001","0.90000000000000002","22","3","3","0.40000000000000002","81","3","11.300000000000001","0.40000000000000002","46","2","6.5","0.29999999999999999","18","2","2.5","0.29999999999999999","28","3","3.8999999999999999","0.40000000000000002","101","6","14","0.90000000000000002"
NA,"Under 65 years","644","2","544","7","84.5","1","437","9","67.799999999999997","1.3","359","9","55.700000000000003","1.3","45","4","7","0.69999999999999996","63","6","9.6999999999999993","1","140","6","21.800000000000001","0.90000000000000002","120","6","18.600000000000001","0.90000000000000002","18","3","2.7999999999999998","0.40000000000000002","11","2","1.7","0.40000000000000002","3","1","0.5","0.10000000000000001","6","2","1","0.20000000000000001","18","2","2.7000000000000002","0.40000000000000002","100","6","15.5","1"
NA,"Under 19 years","197","1","176","3","89.700000000000003","1.5","120","4","61.100000000000001","2.2000000000000002","94","5","48","2.5","9","2","4.4000000000000004","0.90000000000000002","24","4","12.4","1.8","67","4","33.899999999999999","2","66","4","33.700000000000003","2.1000000000000001","10","2","5.2999999999999998","1.1000000000000001","1","Z","0.40000000000000002","0.20000000000000001","Z","Z","0.10000000000000001","0.10000000000000001","Z","Z","0.20000000000000001","0.20000000000000001","Z","Z","Z","Z","20","3","10.300000000000001","1.5"
NA,"19 - 64 years","447","3","368","5","82.200000000000003","1","317","6","70.799999999999997","1.3","264","6","59.100000000000001","1.2","36","3","8.1999999999999993","0.80000000000000004","38","4","8.5","0.90000000000000002","73","4","16.399999999999999","1","53","4","11.9","0.80000000000000004","7","1","1.7","0.29999999999999999","10","2","2.2999999999999998","0.5","3","1","0.69999999999999996","0.20000000000000001","6","1","1.3","0.29999999999999999","17","2","3.8999999999999999","0.5","80","4","17.800000000000001","1"
