"Nation/State","Characteristic","Total",NA,"Covered by any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by government health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Employment-based",NA,NA,NA,"Direct Purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also by private insurance",NA,NA,NA,"Also by Medicaid",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA
NA,NA,"Number","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Under 65 years","33512","6","30723","39","91.700000000000003","0.10000000000000001","21736","71","64.900000000000006","0.20000000000000001","18231","76","54.399999999999999","0.20000000000000001","3692","42","11","0.10000000000000001","470","20","1.3999999999999999","0.10000000000000001","10098","71","30.100000000000001","0.20000000000000001","9473","72","28.300000000000001","0.20000000000000001","857","19","2.6000000000000001","0.10000000000000001","809","17","2.3999999999999999","Z","165","8","0.5","Z","413","13","1.2","Z","288","10","0.90000000000000002","Z","2789","39","8.3000000000000007","0.10000000000000001"
NA,"Under 19 years","9603","10","9304","18","96.900000000000006","0.10000000000000001","5334","38","55.5","0.40000000000000002","4572","39","47.600000000000001","0.40000000000000002","728","21","7.5999999999999996","0.20000000000000001","163","11","1.7","0.10000000000000001","4354","40","45.299999999999997","0.40000000000000002","4289","41","44.700000000000003","0.40000000000000002","377","13","3.8999999999999999","0.10000000000000001","100","9","1","0.10000000000000001","7","1","0.10000000000000001","Z","40","5","0.40000000000000002","0.10000000000000001","5","1","0.10000000000000001","Z","300","14","3.1000000000000001","0.10000000000000001"
NA,"19 - 64 years","23909","12","21419","29","89.599999999999994","0.10000000000000001","16402","50","68.599999999999994","0.20000000000000001","13659","51","57.100000000000001","0.20000000000000001","2963","33","12.4","0.10000000000000001","307","12","1.3","0.10000000000000001","5744","46","24","0.20000000000000001","5184","46","21.699999999999999","0.20000000000000001","480","12","2","0.10000000000000001","708","14","3","0.10000000000000001","158","7","0.69999999999999996","Z","373","11","1.6000000000000001","Z","283","10","1.2","Z","2490","32","10.4","0.10000000000000001"
NA,"65 years and over","5252","4","5197","5","99","0.10000000000000001","2692","20","51.299999999999997","0.40000000000000002","1631","20","31.100000000000001","0.40000000000000002","1236","16","23.5","0.29999999999999999","215","8","4.0999999999999996","0.10000000000000001","4979","10","94.799999999999997","0.20000000000000001","1103","15","21","0.29999999999999999","227","7","4.2999999999999998","0.10000000000000001","4970","10","94.599999999999994","0.20000000000000001","2469","19","47","0.40000000000000002","1103","15","21","0.29999999999999999","321","8","6.0999999999999996","0.10000000000000001","55","4","1","0.10000000000000001"
"Colorado","All persons","5448","3","5038","15","92.5","0.29999999999999999","3823","23","70.200000000000003","0.40000000000000002","3011","25","55.299999999999997","0.5","775","17","14.199999999999999","0.29999999999999999","222","8","4.0999999999999996","0.20000000000000001","1786","20","32.799999999999997","0.40000000000000002","1056","20","19.399999999999999","0.40000000000000002","141","7","2.6000000000000001","0.10000000000000001","804","6","14.800000000000001","0.10000000000000001","435","7","8","0.10000000000000001","130","5","2.3999999999999999","0.10000000000000001","130","5","2.3999999999999999","0.10000000000000001","410","14","7.5","0.29999999999999999"
NA,"Under 65 years","4720","3","4315","14","91.400000000000006","0.29999999999999999","3392","22","71.900000000000006","0.5","2795","24","59.200000000000003","0.5","551","14","11.699999999999999","0.29999999999999999","161","7","3.3999999999999999","0.20000000000000001","1089","20","23.100000000000001","0.40000000000000002","977","20","20.699999999999999","0.40000000000000002","109","6","2.2999999999999998","0.10000000000000001","108","5","2.2999999999999998","0.10000000000000001","30","3","0.59999999999999998","0.10000000000000001","51","3","1.1000000000000001","0.10000000000000001","69","5","1.5","0.10000000000000001","404","14","8.5999999999999996","0.29999999999999999"
NA,"Under 19 years","1331","4","1274","7","95.700000000000003","0.40000000000000002","849","12","63.799999999999997","0.90000000000000002","697","12","52.399999999999999","0.90000000000000002","120","6","9","0.5","55","4","4.0999999999999996","0.29999999999999999","474","12","35.600000000000001","0.90000000000000002","469","13","35.200000000000003","0.90000000000000002","48","4","3.6000000000000001","0.29999999999999999","7","2","0.5","0.10000000000000001","1","1","0.10000000000000001","Z","2","1","0.20000000000000001","0.10000000000000001","2","1","0.10000000000000001","0.10000000000000001","57","6","4.2999999999999998","0.40000000000000002"
NA,"19 - 64 years","3389","5","3041","12","89.700000000000003","0.29999999999999999","2544","15","75.099999999999994","0.40000000000000002","2098","17","61.899999999999999","0.5","431","12","12.699999999999999","0.40000000000000002","106","6","3.1000000000000001","0.20000000000000001","615","12","18.100000000000001","0.40000000000000002","508","12","15","0.40000000000000002","62","4","1.8","0.10000000000000001","101","5","3","0.10000000000000001","29","3","0.90000000000000002","0.10000000000000001","49","3","1.3999999999999999","0.10000000000000001","67","4","2","0.10000000000000001","348","11","10.300000000000001","0.29999999999999999"
NA,"65 years and over","728","2","723","2","99.299999999999997","0.20000000000000001","430","7","59.100000000000001","0.90000000000000002","216","6","29.699999999999999","0.90000000000000002","224","7","30.800000000000001","0.90000000000000002","61","3","8.3000000000000007","0.5","698","3","95.799999999999997","0.40000000000000002","79","3","10.9","0.5","32","2","4.4000000000000004","0.29999999999999999","696","4","95.700000000000003","0.40000000000000002","405","7","55.600000000000001","0.90000000000000002","79","3","10.9","0.5","61","3","8.4000000000000004","0.40000000000000002","5","1","0.69999999999999996","0.20000000000000001"
"Connecticut","All persons","3525","1","3353","11","95.099999999999994","0.29999999999999999","2536","19","71.900000000000006","0.5","2129","21","60.399999999999999","0.59999999999999998","464","11","13.199999999999999","0.29999999999999999","46","4","1.3","0.10000000000000001","1234","18","35","0.5","724","18","20.5","0.5","97","7","2.7999999999999998","0.20000000000000001","605","5","17.199999999999999","0.10000000000000001","347","7","9.8000000000000007","0.20000000000000001","112","5","3.2000000000000002","0.20000000000000001","54","3","1.5","0.10000000000000001","172","11","4.9000000000000004","0.29999999999999999"
NA,"Under 65 years","2969","2","2799","11","94.299999999999997","0.40000000000000002","2187","18","73.700000000000003","0.59999999999999998","1920","20","64.700000000000003","0.69999999999999996","290","9","9.8000000000000007","0.29999999999999999","31","4","1","0.10000000000000001","702","18","23.699999999999999","0.59999999999999998","649","18","21.800000000000001","0.59999999999999998","66","6","2.2000000000000002","0.20000000000000001","74","5","2.5","0.20000000000000001","21","3","0.69999999999999996","0.10000000000000001","37","4","1.2","0.10000000000000001","21","2","0.69999999999999996","0.10000000000000001","170","11","5.7000000000000002","0.40000000000000002"
NA,"Under 19 years","804","3","781","5","97.200000000000003","0.5","530","10","66","1.2","478","10","59.5","1.3","52","4","6.4000000000000004","0.5","10","2","1.2","0.29999999999999999","282","10","35.100000000000001","1.3","281","10","35","1.3","31","4","3.7999999999999998","0.5","2","1","0.20000000000000001","0.10000000000000001","1","Z","0.10000000000000001","0.10000000000000001","1","1","0.20000000000000001","0.10000000000000001","Z","Z","Z","Z","23","4","2.7999999999999998","0.5"
NA,"19 - 64 years","2165","4","2018","10","93.200000000000003","0.40000000000000002","1657","12","76.5","0.59999999999999998","1442","14","66.599999999999994","0.59999999999999998","239","7","11","0.29999999999999999","21","3","1","0.10000000000000001","421","11","19.399999999999999","0.5","367","11","17","0.5","35","4","1.6000000000000001","0.20000000000000001","72","5","3.2999999999999998","0.20000000000000001","20","3","0.90000000000000002","0.10000000000000001","35","4","1.6000000000000001","0.20000000000000001","21","2","0.90000000000000002","0.10000000000000001","147","9","6.7999999999999998","0.40000000000000002"
NA,"65 years and over","556","1","554","2","99.5","0.20000000000000001","349","6","62.700000000000003","1.1000000000000001","210","6","37.700000000000003","1","173","5","31.199999999999999","0.90000000000000002","16","2","2.7999999999999998","0.29999999999999999","531","3","95.5","0.40000000000000002","75","4","13.5","0.69999999999999996","32","2","5.7000000000000002","0.40000000000000002","531","3","95.5","0.40000000000000002","326","6","58.700000000000003","1","75","4","13.5","0.69999999999999996","34","2","6","0.40000000000000002","3","1","0.5","0.20000000000000001"
"Delaware","All persons","938","1","885","5","94.299999999999997","0.5","670","9","71.400000000000006","1","566","11","60.299999999999997","1.2","120","7","12.800000000000001","0.69999999999999996","29","4","3.1000000000000001","0.40000000000000002","348","9","37.100000000000001","1","190","9","20.300000000000001","1","28","4","3","0.40000000000000002","181","3","19.300000000000001","0.40000000000000002","114","4","12.1","0.40000000000000002","28","3","3","0.29999999999999999","17","2","1.8","0.20000000000000001","53","5","5.7000000000000002","0.5"
NA,"Under 65 years","775","1","724","5","93.400000000000006","0.59999999999999998","559","8","72.099999999999994","1.1000000000000001","491","11","63.399999999999999","1.3999999999999999","72","6","9.1999999999999993","0.80000000000000004","18","4","2.2999999999999998","0.5","191","9","24.600000000000001","1.2","171","9","22.100000000000001","1.1000000000000001","18","4","2.2999999999999998","0.5","23","3","3","0.29999999999999999","7","1","0.90000000000000002","0.20000000000000001","9","2","1.2","0.20000000000000001","7","1","0.90000000000000002","0.20000000000000001","52","4","6.5999999999999996","0.59999999999999998"
NA,"Under 19 years","217","2","211","2","96.900000000000006","0.80000000000000004","140","5","64.5","2","124","5","56.899999999999999","2.2999999999999998","14","3","6.5999999999999996","1.3999999999999999","5","2","2.5","0.90000000000000002","80","5","36.700000000000003","2.2000000000000002","79","5","36.399999999999999","2.2000000000000002","9","3","4.2000000000000002","1.2","2","1","0.69999999999999996","0.40000000000000002","Z","Z","0.20000000000000001","0.20000000000000001","1","1","0.40000000000000002","0.40000000000000002","Z","Z","Z","Z","7","2","3.1000000000000001","0.80000000000000004"
NA,"19 - 64 years","558","2","513","4","92","0.69999999999999996","419","6","75.099999999999994","1.1000000000000001","368","8","65.900000000000006","1.3999999999999999","57","5","10.300000000000001","0.80000000000000004","12","2","2.2000000000000002","0.40000000000000002","111","6","19.899999999999999","1.1000000000000001","92","5","16.5","1","9","2","1.6000000000000001","0.29999999999999999","22","2","3.8999999999999999","0.40000000000000002","6","1","1.2","0.20000000000000001","8","1","1.5","0.29999999999999999","7","1","1.2","0.29999999999999999","45","4","8","0.69999999999999996"
NA,"65 years and over","163","1","161","1","99","0.69999999999999996","111","3","68.099999999999994","2.1000000000000001","75","3","45.799999999999997","1.8999999999999999","49","3","29.800000000000001","1.6000000000000001","12","1","7.0999999999999996","0.90000000000000002","157","2","96.700000000000003","0.90000000000000002","19","2","11.5","1.3999999999999999","10","2","6","0.90000000000000002","157","2","96.599999999999994","0.90000000000000002","107","3","65.700000000000003","2.2000000000000002","19","2","11.5","1.3999999999999999","10","1","6.2999999999999998","0.80000000000000004","2","1","1","0.69999999999999996"
"District of Columbia","All persons","671","1","645","4","96.099999999999994","0.59999999999999998","459","8","68.400000000000006","1.3","384","9","57.299999999999997","1.3999999999999999","85","5","12.6","0.69999999999999996","14","2","2","0.29999999999999999","249","8","37.100000000000001","1.2","190","9","28.300000000000001","1.3","23","3","3.3999999999999999","0.5","86","2","12.800000000000001","0.29999999999999999","47","2","7","0.40000000000000002","31","3","4.7000000000000002","0.40000000000000002","11","2","1.7","0.29999999999999999","26","4","3.8999999999999999","0.59999999999999998"
NA,"Under 65 years","594","1","568","4","95.700000000000003","0.69999999999999996","409","8","68.900000000000006","1.3999999999999999","347","9","58.399999999999999","1.5","67","5","11.300000000000001","0.80000000000000004","10","2","1.7","0.29999999999999999","178","8","30","1.3999999999999999","169","8","28.5","1.3999999999999999","14","3","2.3999999999999999","0.5","15","2","2.6000000000000001","0.29999999999999999","3","1","0.5","0.10000000000000001","11","2","1.8","0.29999999999999999","6","1","1","0.20000000000000001","26","4","4.2999999999999998","0.69999999999999996"
NA,"Under 19 years","131","2","127","3","96.900000000000006","1.3","69","4","52.899999999999999","3.1000000000000001","59","5","44.700000000000003","3.3999999999999999","9","2","7","1.5","3","1","2.2000000000000002","0.69999999999999996","63","4","48.200000000000003","3.3999999999999999","63","4","47.899999999999999","3.3999999999999999","5","2","4","1.3","1","Z","0.5","0.40000000000000002","Z","Z","Z","Z","Z","Z","0.29999999999999999","0.29999999999999999","Z","Z","0.20000000000000001","0.20000000000000001","4","2","3.1000000000000001","1.3"
NA,"19 - 64 years","463","2","442","4","95.299999999999997","0.69999999999999996","340","6","73.5","1.3","288","7","62.299999999999997","1.3999999999999999","58","4","12.5","0.80000000000000004","7","1","1.6000000000000001","0.29999999999999999","115","5","24.800000000000001","1.2","107","6","23","1.2","9","2","2","0.40000000000000002","15","2","3.2000000000000002","0.40000000000000002","3","1","0.69999999999999996","0.20000000000000001","11","2","2.2999999999999998","0.40000000000000002","6","1","1.3","0.29999999999999999","22","3","4.7000000000000002","0.69999999999999996"
NA,"65 years and over","77","1","76","1","99.200000000000003","0.59999999999999998","50","2","64.5","3","37","2","48.299999999999997","2.7999999999999998","18","2","23","2.3999999999999999","4","1","4.5999999999999996","1.3","71","1","92.299999999999997","1.2","20","2","26.5","2.3999999999999999","8","1","10.699999999999999","1.7","70","1","91.799999999999997","1.2","44","2","57.299999999999997","2.8999999999999999","20","2","26.5","2.3999999999999999","5","1","6.5999999999999996","1.1000000000000001","1","Z","0.80000000000000004","0.59999999999999998"
"Florida","All persons","20294","4","17750","47","87.5","0.20000000000000001","12663","61","62.399999999999999","0.29999999999999999","9107","55","44.899999999999999","0.29999999999999999","3567","40","17.600000000000001","0.20000000000000001","716","17","3.5","0.10000000000000001","7629","48","37.600000000000001","0.20000000000000001","3858","48","19","0.20000000000000001","534","19","2.6000000000000001","0.10000000000000001","4380","16","21.600000000000001","0.10000000000000001","2095","19","10.300000000000001","0.10000000000000001","818","15","4","0.10000000000000001","610","14","3","0.10000000000000001","2544","47","12.5","0.20000000000000001"
NA,"Under 65 years","16274","6","13783","47","84.700000000000003","0.29999999999999999","10578","60","65","0.40000000000000002","8086","53","49.700000000000003","0.29999999999999999","2420","39","14.9","0.20000000000000001","438","14","2.7000000000000002","0.10000000000000001","3777","47","23.199999999999999","0.29999999999999999","3284","44","20.199999999999999","0.29999999999999999","364","15","2.2000000000000002","0.10000000000000001","533","13","3.2999999999999998","0.10000000000000001","128","6","0.80000000000000004","Z","244","10","1.5","0.10000000000000001","255","10","1.6000000000000001","0.10000000000000001","2491","47","15.300000000000001","0.29999999999999999"
NA,"Under 19 years","4386","8","4098","17","93.400000000000006","0.40000000000000002","2340","26","53.299999999999997","0.59999999999999998","1839","23","41.899999999999999","0.5","439","15","10","0.29999999999999999","130","8","3","0.20000000000000001","1908","26","43.5","0.59999999999999998","1888","26","43","0.59999999999999998","145","9","3.2999999999999998","0.20000000000000001","27","3","0.59999999999999998","0.10000000000000001","4","1","0.10000000000000001","Z","13","2","0.29999999999999999","0.10000000000000001","8","2","0.20000000000000001","Z","288","16","6.5999999999999996","0.40000000000000002"
NA,"19 - 64 years","11888","10","9684","40","81.5","0.29999999999999999","8239","43","69.299999999999997","0.40000000000000002","6247","40","52.600000000000001","0.29999999999999999","1981","30","16.699999999999999","0.29999999999999999","308","10","2.6000000000000001","0.10000000000000001","1869","31","15.699999999999999","0.29999999999999999","1396","28","11.699999999999999","0.20000000000000001","219","10","1.8","0.10000000000000001","506","13","4.2999999999999998","0.10000000000000001","125","6","1","0.10000000000000001","231","10","1.8999999999999999","0.10000000000000001","248","9","2.1000000000000001","0.10000000000000001","2203","40","18.5","0.29999999999999999"
NA,"65 years and over","4021","4","3968","6","98.700000000000003","0.10000000000000001","2084","18","51.799999999999997","0.40000000000000002","1021","15","25.399999999999999","0.40000000000000002","1147","17","28.5","0.40000000000000002","279","7","6.9000000000000004","0.20000000000000001","3852","10","95.799999999999997","0.20000000000000001","574","11","14.300000000000001","0.29999999999999999","170","7","4.2000000000000002","0.20000000000000001","3847","10","95.700000000000003","0.20000000000000001","1967","18","48.899999999999999","0.40000000000000002","574","11","14.300000000000001","0.29999999999999999","355","8","8.8000000000000007","0.20000000000000001","53","6","1.3","0.10000000000000001"
"Georgia","All persons","10121","4","8811","30","87.099999999999994","0.29999999999999999","6710","40","66.299999999999997","0.40000000000000002","5338","42","52.700000000000003","0.40000000000000002","1369","28","13.5","0.29999999999999999","410","15","4","0.10000000000000001","3170","31","31.300000000000001","0.29999999999999999","1818","31","18","0.29999999999999999","275","11","2.7000000000000002","0.10000000000000001","1557","11","15.4","0.10000000000000001","821","13","8.0999999999999996","0.10000000000000001","323","10","3.2000000000000002","0.10000000000000001","256","8","2.5","0.10000000000000001","1310","30","12.9","0.29999999999999999"
NA,"Under 65 years","8790","5","7494","29","85.200000000000003","0.29999999999999999","5920","35","67.299999999999997","0.40000000000000002","4900","39","55.700000000000003","0.40000000000000002","978","25","11.1","0.29999999999999999","305","15","3.5","0.20000000000000001","1896","30","21.600000000000001","0.29999999999999999","1621","30","18.399999999999999","0.29999999999999999","195","9","2.2000000000000002","0.10000000000000001","285","10","3.2000000000000002","0.10000000000000001","76","6","0.90000000000000002","0.10000000000000001","126","7","1.3999999999999999","0.10000000000000001","145","7","1.7","0.10000000000000001","1297","30","14.800000000000001","0.29999999999999999"
NA,"Under 19 years","2661","7","2482","14","93.299999999999997","0.5","1488","21","55.899999999999999","0.80000000000000004","1240","22","46.600000000000001","0.80000000000000004","196","12","7.2999999999999998","0.40000000000000002","104","7","3.8999999999999999","0.29999999999999999","1086","22","40.799999999999997","0.80000000000000004","1061","22","39.899999999999999","0.80000000000000004","86","7","3.2000000000000002","0.29999999999999999","29","5","1.1000000000000001","0.20000000000000001","6","3","0.20000000000000001","0.10000000000000001","10","3","0.40000000000000002","0.10000000000000001","7","2","0.29999999999999999","0.10000000000000001","179","13","6.7000000000000002","0.5"
NA,"19 - 64 years","6129","8","5012","24","81.799999999999997","0.40000000000000002","4432","26","72.299999999999997","0.40000000000000002","3659","27","59.700000000000003","0.40000000000000002","783","19","12.800000000000001","0.29999999999999999","201","10","3.2999999999999998","0.20000000000000001","810","17","13.199999999999999","0.29999999999999999","559","16","9.0999999999999996","0.29999999999999999","109","6","1.8","0.10000000000000001","256","9","4.2000000000000002","0.10000000000000001","71","5","1.2","0.10000000000000001","116","7","1.8999999999999999","0.10000000000000001","138","6","2.2999999999999998","0.10000000000000001","1117","24","18.199999999999999","0.40000000000000002"
NA,"65 years and over","1330","4","1318","4","99","0.20000000000000001","789","11","59.299999999999997","0.80000000000000004","439","9","33","0.69999999999999996","391","9","29.399999999999999","0.69999999999999996","105","6","7.9000000000000004","0.40000000000000002","1274","6","95.799999999999997","0.29999999999999999","197","7","14.800000000000001","0.5","80","5","6","0.40000000000000002","1272","6","95.599999999999994","0.29999999999999999","745","11","56","0.80000000000000004","197","7","14.800000000000001","0.5","111","5","8.3000000000000007","0.40000000000000002","13","2","1","0.20000000000000001"
"Hawaii","All persons","1379","3","1330","6","96.5","0.40000000000000002","1065","10","77.200000000000003","0.69999999999999996","879","12","63.799999999999997","0.90000000000000002","169","8","12.199999999999999","0.59999999999999998","125","7","9.0999999999999996","0.5","469","10","34.100000000000001","0.69999999999999996","244","10","17.699999999999999","0.69999999999999996","41","4","3","0.29999999999999999","247","3","17.899999999999999","0.29999999999999999","165","4","11.9","0.29999999999999999","37","3","2.7000000000000002","0.20000000000000001","34","3","2.5","0.20000000000000001","49","5","3.5","0.40000000000000002"
NA,"Under 65 years","1140","3","1092","6","95.799999999999997","0.5","898","10","78.799999999999997","0.90000000000000002","755","12","66.200000000000003","1","111","7","9.6999999999999993","0.59999999999999998","105","7","9.1999999999999993","0.59999999999999998","244","9","21.399999999999999","0.80000000000000004","215","9","18.800000000000001","0.80000000000000004","30","3","2.7000000000000002","0.29999999999999999","22","2","1.8999999999999999","0.20000000000000001","9","2","0.80000000000000004","0.10000000000000001","8","1","0.69999999999999996","0.10000000000000001","18","2","1.6000000000000001","0.20000000000000001","48","5","4.2000000000000002","0.5"
NA,"Under 19 years","323","2","315","3","97.5","0.69999999999999996","229","5","70.900000000000006","1.6000000000000001","179","6","55.600000000000001","1.8999999999999999","25","3","7.7000000000000002","0.80000000000000004","45","4","13.9","1.2","101","5","31.399999999999999","1.6000000000000001","100","5","31.100000000000001","1.6000000000000001","15","2","4.5999999999999996","0.69999999999999996","1","Z","0.20000000000000001","0.10000000000000001","Z","Z","0.10000000000000001","0.10000000000000001","Z","Z","0.10000000000000001","0.10000000000000001","1","1","0.20000000000000001","0.20000000000000001","8","2","2.5","0.69999999999999996"
NA,"19 - 64 years","817","3","777","5","95.099999999999994","0.5","669","7","81.900000000000006","0.80000000000000004","576","9","70.5","1","86","5","10.5","0.59999999999999998","60","4","7.2999999999999998","0.5","142","6","17.399999999999999","0.69999999999999996","114","6","14","0.69999999999999996","16","2","1.8999999999999999","0.29999999999999999","21","2","2.6000000000000001","0.29999999999999999","9","2","1.1000000000000001","0.20000000000000001","7","1","0.90000000000000002","0.20000000000000001","17","2","2.1000000000000001","0.29999999999999999","40","4","4.9000000000000004","0.5"
NA,"65 years and over","239","1","238","1","99.700000000000003","0.20000000000000001","167","3","70","1.3","124","3","51.899999999999999","1.5","58","4","24.300000000000001","1.5","21","2","8.5999999999999996","0.80000000000000004","226","2","94.599999999999994","0.80000000000000004","29","2","12.199999999999999","0.90000000000000002","11","1","4.4000000000000004","0.5","225","2","94.299999999999997","0.90000000000000002","155","3","65","1.3999999999999999","29","2","12.199999999999999","0.90000000000000002","17","2","6.9000000000000004","0.69999999999999996","1","Z","0.29999999999999999","0.20000000000000001"
"Idaho","All persons","1663","1","1495","9","89.900000000000006","0.5","1166","15","70.099999999999994","0.90000000000000002","859","17","51.700000000000003","1","319","10","19.199999999999999","0.59999999999999998","53","5","3.2000000000000002","0.29999999999999999","543","13","32.600000000000001","0.80000000000000004","293","14","17.600000000000001","0.80000000000000004","54","5","3.2999999999999998","0.29999999999999999","283","4","17","0.20000000000000001","164","6","9.8000000000000007","0.29999999999999999","52","4","3.1000000000000001","0.20000000000000001","52","4","3.1000000000000001","0.20000000000000001","168","8","10.1","0.5"
NA,"Under 65 years","1410","2","1244","8","88.200000000000003","0.59999999999999998","1008","14","71.5","1","801","17","56.799999999999997","1.2","216","10","15.300000000000001","0.69999999999999996","33","4","2.2999999999999998","0.29999999999999999","298","12","21.100000000000001","0.90000000000000002","261","13","18.5","0.90000000000000002","41","5","2.8999999999999999","0.29999999999999999","39","4","2.7999999999999998","0.29999999999999999","12","2","0.90000000000000002","0.10000000000000001","20","3","1.3999999999999999","0.20000000000000001","22","3","1.6000000000000001","0.20000000000000001","166","8","11.800000000000001","0.59999999999999998"
NA,"Under 19 years","460","3","438","5","95.099999999999994","0.80000000000000004","284","8","61.700000000000003","1.7","232","9","50.299999999999997","1.8999999999999999","50","6","10.9","1.2","12","2","2.6000000000000001","0.5","175","9","38","2.1000000000000001","174","9","37.799999999999997","2","21","4","4.5999999999999996","0.80000000000000004","2","1","0.5","0.20000000000000001","1","Z","0.10000000000000001","0.10000000000000001","2","1","0.29999999999999999","0.10000000000000001","Z","Z","0.10000000000000001","0.10000000000000001","22","4","4.9000000000000004","0.80000000000000004"
NA,"19 - 64 years","950","4","806","7","84.900000000000006","0.69999999999999996","724","8","76.200000000000003","0.90000000000000002","569","10","59.899999999999999","1","165","6","17.399999999999999","0.69999999999999996","21","3","2.2000000000000002","0.29999999999999999","123","6","12.9","0.59999999999999998","87","6","9.1999999999999993","0.59999999999999998","20","2","2.1000000000000001","0.29999999999999999","37","4","3.8999999999999999","0.40000000000000002","12","2","1.3","0.20000000000000001","19","2","2","0.20000000000000001","21","3","2.2999999999999998","0.29999999999999999","144","7","15.1","0.69999999999999996"
NA,"65 years and over","252","2","251","2","99.200000000000003","0.29999999999999999","157","5","62.399999999999999","2.1000000000000001","59","4","23.300000000000001","1.6000000000000001","104","5","41","2","20","2","8","0.80000000000000004","244","2","96.799999999999997","0.59999999999999998","32","3","12.5","1.2","13","2","5","0.69999999999999996","244","2","96.599999999999994","0.59999999999999998","151","5","59.899999999999999","1.8999999999999999","32","3","12.5","1.2","30","2","11.9","0.90000000000000002","2","1","0.80000000000000004","0.29999999999999999"
"Illinois","All persons","12620","1","11804","20","93.5","0.20000000000000001","8884","40","70.400000000000006","0.29999999999999999","7382","39","58.5","0.29999999999999999","1751","24","13.9","0.20000000000000001","139","7","1.1000000000000001","0.10000000000000001","4292","35","34","0.29999999999999999","2550","34","20.199999999999999","0.29999999999999999","283","12","2.2000000000000002","0.10000000000000001","1994","12","15.800000000000001","0.10000000000000001","1138","12","9","0.10000000000000001","320","10","2.5","0.10000000000000001","211","7","1.7","0.10000000000000001","817","20","6.5","0.20000000000000001"
NA,"Under 65 years","10812","4","10011","19","92.599999999999994","0.20000000000000001","7757","37","71.700000000000003","0.29999999999999999","6778","35","62.700000000000003","0.29999999999999999","1118","20","10.300000000000001","0.20000000000000001","91","7","0.80000000000000004","0.10000000000000001","2562","34","23.699999999999999","0.29999999999999999","2349","32","21.699999999999999","0.29999999999999999","210","11","1.8999999999999999","0.10000000000000001","265","11","2.5","0.10000000000000001","73","4","0.69999999999999996","Z","118","7","1.1000000000000001","0.10000000000000001","85","4","0.80000000000000004","Z","801","19","7.4000000000000004","0.20000000000000001"
NA,"Under 19 years","3095","5","3013","8","97.400000000000006","0.20000000000000001","1931","21","62.399999999999999","0.69999999999999996","1728","19","55.799999999999997","0.59999999999999998","211","10","6.7999999999999998","0.29999999999999999","29","4","0.90000000000000002","0.10000000000000001","1183","21","38.200000000000003","0.69999999999999996","1173","21","37.899999999999999","0.69999999999999996","99","8","3.2000000000000002","0.20000000000000001","15","3","0.5","0.10000000000000001","3","2","0.10000000000000001","Z","7","2","0.20000000000000001","0.10000000000000001","3","1","0.10000000000000001","Z","82","7","2.6000000000000001","0.20000000000000001"
NA,"19 - 64 years","7717","6","6998","16","90.700000000000003","0.20000000000000001","5826","23","75.5","0.29999999999999999","5049","23","65.400000000000006","0.29999999999999999","907","14","11.800000000000001","0.20000000000000001","62","4","0.80000000000000004","0.10000000000000001","1379","19","17.899999999999999","0.20000000000000001","1176","17","15.199999999999999","0.20000000000000001","111","6","1.3999999999999999","0.10000000000000001","250","10","3.2000000000000002","0.10000000000000001","71","4","0.90000000000000002","0.10000000000000001","111","6","1.3999999999999999","0.10000000000000001","82","4","1.1000000000000001","0.10000000000000001","719","16","9.3000000000000007","0.20000000000000001"
