"Table with row headers in column A and column headers in rows 5 through 9","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
NA,"19 - 64 years","193199","45","169491","172","87.700000000000003","0.10000000000000001","140647","250","72.799999999999997","0.10000000000000001","119846","218","62","0.10000000000000001","22193","122","11.5","0.10000000000000001","3874","43","2","Z","35730","118","18.5","0.10000000000000001","29169","108","15.1","0.10000000000000001","3758","33","1.8999999999999999","Z","7503","44","3.8999999999999999","Z","2026","24","1","Z","3528","33","1.8","Z","3226","36","1.7","Z","23709","158","12.300000000000001","0.10000000000000001"
NA,"65 years and over","49500","24","49115","31","99.200000000000003","Z","29493","81","59.600000000000001","0.20000000000000001","15891","70","32.100000000000001","0.10000000000000001","15532","65","31.399999999999999","0.10000000000000001","2887","29","5.7999999999999998","0.10000000000000001","47514","38","96","0.10000000000000001","6830","41","13.800000000000001","0.10000000000000001","2370","26","4.7999999999999998","0.10000000000000001","47450","37","95.900000000000006","0.10000000000000001","27862","84","56.299999999999997","0.20000000000000001","6830","41","13.800000000000001","0.10000000000000001","3968","30","8","0.10000000000000001","386","14","0.80000000000000004","Z"
"Alabama","All persons","4794","2","4345","16","90.599999999999994","0.29999999999999999","3205","27","66.900000000000006","0.59999999999999998","2552","28","53.200000000000003","0.59999999999999998","671","16","14","0.29999999999999999","215","10","4.5","0.20000000000000001","1812","21","37.799999999999997","0.40000000000000002","983","20","20.5","0.40000000000000002","156","7","3.2999999999999998","0.20000000000000001","972","8","20.300000000000001","0.20000000000000001","545","8","11.4","0.20000000000000001","195","6","4.0999999999999996","0.10000000000000001","142","6","3","0.10000000000000001","449","16","9.4000000000000004","0.29999999999999999"
NA,"Under 65 years","4011","4","3565","17","88.900000000000006","0.40000000000000002","2710","26","67.599999999999994","0.69999999999999996","2286","27","57","0.69999999999999996","424","15","10.6","0.40000000000000002","130","9","3.2000000000000002","0.20000000000000001","1047","21","26.100000000000001","0.5","875","19","21.800000000000001","0.5","108","7","2.7000000000000002","0.20000000000000001","208","8","5.2000000000000002","0.20000000000000001","66","4","1.6000000000000001","0.10000000000000001","88","5","2.2000000000000002","0.10000000000000001","71","4","1.8","0.10000000000000001","446","16","11.1","0.40000000000000002"
NA,"Under 19 years","1169","5","1133","6","96.900000000000006","0.40000000000000002","643","12","55","1.1000000000000001","553","14","47.299999999999997","1.2","77","7","6.5999999999999996","0.59999999999999998","36","5","3","0.40000000000000002","536","12","45.799999999999997","1","530","12","45.299999999999997","1","43","5","3.7000000000000002","0.40000000000000002","7","2","0.59999999999999998","0.10000000000000001","2","1","0.20000000000000001","0.10000000000000001","3","1","0.29999999999999999","0.10000000000000001","3","1","0.20000000000000001","0.10000000000000001","36","4","3.1000000000000001","0.40000000000000002"
NA,"19 - 64 years","2841","6","2431","17","85.599999999999994","0.5","2067","19","72.799999999999997","0.69999999999999996","1733","19","61","0.69999999999999996","346","11","12.199999999999999","0.40000000000000002","94","7","3.2999999999999998","0.20000000000000001","512","14","18","0.5","345","12","12.1","0.40000000000000002","66","5","2.2999999999999998","0.20000000000000001","201","7","7.0999999999999996","0.29999999999999999","64","4","2.2000000000000002","0.10000000000000001","85","5","3","0.20000000000000001","68","4","2.3999999999999999","0.20000000000000001","410","15","14.4","0.5"
NA,"65 years and over","783","3","780","3","99.599999999999994","0.10000000000000001","495","8","63.299999999999997","0.90000000000000002","267","7","34.100000000000001","0.90000000000000002","248","7","31.600000000000001","0.90000000000000002","86","5","10.9","0.59999999999999998","765","3","97.700000000000003","0.29999999999999999","108","5","13.800000000000001","0.69999999999999996","48","4","6.0999999999999996","0.5","764","4","97.599999999999994","0.29999999999999999","480","8","61.299999999999997","0.90000000000000002","108","5","13.800000000000001","0.69999999999999996","71","4","9.0999999999999996","0.5","3","1","0.40000000000000002","0.10000000000000001"
"Alaska","All persons","716","2","618","6","86.299999999999997","0.80000000000000004","453","9","63.200000000000003","1.3","368","10","51.399999999999999","1.3999999999999999","55","5","7.5999999999999996","0.69999999999999996","70","6","9.8000000000000007","0.90000000000000002","248","8","34.700000000000003","1.1000000000000001","163","9","22.699999999999999","1.2","25","4","3.5","0.5","87","2","12.1","0.29999999999999999","49","2","6.9000000000000004","0.29999999999999999","18","2","2.6000000000000001","0.29999999999999999","31","3","4.4000000000000004","0.40000000000000002","98","6","13.699999999999999","0.80000000000000004"
NA,"Under 65 years","635","3","538","6","84.700000000000003","0.90000000000000002","402","8","63.399999999999999","1.3","330","9","52","1.5","42","6","6.7000000000000002","0.90000000000000002","61","6","9.5","1","172","8","27","1.2","150","8","23.699999999999999","1.3","22","3","3.3999999999999999","0.5","11","2","1.7","0.29999999999999999","3","1","0.40000000000000002","0.10000000000000001","6","1","0.90000000000000002","0.20000000000000001","19","3","3.1000000000000001","0.40000000000000002","97","6","15.300000000000001","0.90000000000000002"
NA,"Under 19 years","194","2","176","3","90.400000000000006","1.7","110","5","56.399999999999999","2.3999999999999999","85","5","43.5","2.3999999999999999","10","3","5.2000000000000002","1.3","24","3","12.4","1.7","77","5","39.5","2.5","76","5","39.399999999999999","2.5","10","2","5.4000000000000004","1.2","Z","Z","0.10000000000000001","0.10000000000000001","Z","Z","Z","Z","Z","Z","0.10000000000000001","0.10000000000000001","Z","Z","0.10000000000000001","0.10000000000000001","19","3","9.5999999999999996","1.7"
NA,"19 - 64 years","440","3","362","5","82.299999999999997","1.1000000000000001","293","6","66.5","1.3","246","6","55.799999999999997","1.3999999999999999","32","4","7.2999999999999998","0.80000000000000004","36","4","8.3000000000000007","0.90000000000000002","95","5","21.600000000000001","1.1000000000000001","74","5","16.800000000000001","1","11","2","2.6000000000000001","0.5","10","2","2.3999999999999999","0.40000000000000002","3","1","0.59999999999999998","0.20000000000000001","6","1","1.3","0.29999999999999999","19","3","4.4000000000000004","0.59999999999999998","78","5","17.699999999999999","1.1000000000000001"
NA,"65 years and over","82","1","81","1","98.799999999999997","0.5","51","2","62.200000000000003","2.7000000000000002","38","2","46.5","2.7999999999999998","12","1","15.300000000000001","1.8","10","1","12.1","1.8","77","1","94","1.3","12","2","15.1","1.8999999999999999","4","1","4.4000000000000004","1","76","1","93.400000000000006","1.3999999999999999","46","2","56.899999999999999","2.7000000000000002","12","2","15.1","1.8999999999999999","12","1","14.5","1.8","1","Z","1.2","0.5"
"Arizona","All persons","6908","2","6213","21","89.900000000000006","0.29999999999999999","4352","34","63","0.5","3460","36","50.100000000000001","0.5","917","22","13.300000000000001","0.29999999999999999","224","10","3.2000000000000002","0.10000000000000001","2705","29","39.200000000000003","0.40000000000000002","1554","29","22.5","0.40000000000000002","199","11","2.8999999999999999","0.20000000000000001","1292","8","18.699999999999999","0.10000000000000001","664","9","9.5999999999999996","0.10000000000000001","213","8","3.1000000000000001","0.10000000000000001","198","6","2.8999999999999999","0.10000000000000001","695","20","10.1","0.29999999999999999"
NA,"Under 65 years","5719","3","5034","20","88","0.29999999999999999","3689","33","64.5","0.59999999999999998","3158","34","55.200000000000003","0.59999999999999998","539","19","9.4000000000000004","0.29999999999999999","135","9","2.3999999999999999","0.20000000000000001","1557","29","27.199999999999999","0.5","1411","29","24.699999999999999","0.5","145","10","2.5","0.20000000000000001","146","8","2.6000000000000001","0.10000000000000001","33","3","0.59999999999999998","0.10000000000000001","69","5","1.2","0.10000000000000001","87","5","1.5","0.10000000000000001","685","20","12","0.29999999999999999"
NA,"Under 19 years","1729","5","1596","10","92.299999999999997","0.5","985","18","57","1","851","18","49.200000000000003","1","130","8","7.5","0.5","39","4","2.2000000000000002","0.20000000000000001","678","15","39.200000000000003","0.90000000000000002","675","15","39","0.90000000000000002","66","6","3.7999999999999998","0.29999999999999999","5","1","0.29999999999999999","0.10000000000000001","1","1","0.10000000000000001","Z","4","1","0.20000000000000001","0.10000000000000001","2","1","0.10000000000000001","0.10000000000000001","133","9","7.7000000000000002","0.5"
NA,"19 - 64 years","3990","6","3438","15","86.200000000000003","0.29999999999999999","2704","23","67.799999999999997","0.59999999999999998","2307","23","57.799999999999997","0.59999999999999998","409","15","10.300000000000001","0.40000000000000002","96","6","2.3999999999999999","0.20000000000000001","879","20","22","0.5","736","20","18.399999999999999","0.5","79","6","2","0.20000000000000001","141","7","3.5","0.20000000000000001","32","3","0.80000000000000004","0.10000000000000001","65","5","1.6000000000000001","0.10000000000000001","85","4","2.1000000000000001","0.10000000000000001","552","14","13.800000000000001","0.29999999999999999"
NA,"65 years and over","1189","2","1179","2","99.200000000000003","0.10000000000000001","663","9","55.700000000000003","0.80000000000000004","302","7","25.399999999999999","0.59999999999999998","378","9","31.800000000000001","0.80000000000000004","89","5","7.5","0.40000000000000002","1148","3","96.599999999999994","0.20000000000000001","143","6","12.1","0.5","54","4","4.5","0.29999999999999999","1146","3","96.400000000000006","0.20000000000000001","630","9","53","0.69999999999999996","143","6","12.1","0.5","111","5","9.3000000000000007","0.40000000000000002","10","2","0.80000000000000004","0.10000000000000001"
"Arkansas","All persons","2949","1","2718","10","92.099999999999994","0.29999999999999999","1807","23","61.299999999999997","0.80000000000000004","1377","20","46.700000000000003","0.69999999999999996","431","12","14.6","0.40000000000000002","108","7","3.7000000000000002","0.29999999999999999","1309","21","44.399999999999999","0.69999999999999996","806","21","27.300000000000001","0.69999999999999996","114","8","3.8999999999999999","0.29999999999999999","602","8","20.399999999999999","0.29999999999999999","300","8","10.199999999999999","0.29999999999999999","135","7","4.5999999999999996","0.29999999999999999","105","5","3.6000000000000001","0.20000000000000001","232","10","7.9000000000000004","0.29999999999999999"
NA,"Under 65 years","2469","3","2238","10","90.700000000000003","0.40000000000000002","1528","21","61.899999999999999","0.90000000000000002","1270","19","51.399999999999999","0.80000000000000004","258","11","10.4","0.40000000000000002","61","6","2.5","0.29999999999999999","839","20","34","0.80000000000000004","736","20","29.800000000000001","0.80000000000000004","87","7","3.5","0.29999999999999999","133","7","5.4000000000000004","0.29999999999999999","31","3","1.2","0.10000000000000001","65","5","2.6000000000000001","0.20000000000000001","47","4","1.8999999999999999","0.20000000000000001","231","10","9.3000000000000007","0.40000000000000002"
NA,"Under 19 years","752","4","718","5","95.599999999999994","0.59999999999999998","355","11","47.200000000000003","1.5","303","10","40.299999999999997","1.3999999999999999","43","4","5.7999999999999998","0.59999999999999998","18","3","2.3999999999999999","0.5","398","11","52.899999999999999","1.3999999999999999","393","11","52.299999999999997","1.3999999999999999","34","5","4.5","0.59999999999999998","10","3","1.3999999999999999","0.5","Z","Z","Z","Z","6","3","0.80000000000000004","0.29999999999999999","1","Z","0.10000000000000001","0.10000000000000001","33","4","4.4000000000000004","0.59999999999999998"
NA,"19 - 64 years","1717","4","1520","9","88.5","0.5","1173","14","68.299999999999997","0.80000000000000004","967","14","56.299999999999997","0.80000000000000004","214","9","12.5","0.5","42","4","2.5","0.20000000000000001","441","13","25.699999999999999","0.69999999999999996","343","12","20","0.69999999999999996","53","4","3.1000000000000001","0.20000000000000001","122","6","7.0999999999999996","0.40000000000000002","30","3","1.8","0.20000000000000001","59","4","3.3999999999999999","0.20000000000000001","46","4","2.7000000000000002","0.20000000000000001","197","9","11.5","0.5"
NA,"65 years and over","480","2","479","2","99.700000000000003","0.10000000000000001","279","7","58","1.3999999999999999","107","5","22.300000000000001","1","173","5","36","1.1000000000000001","47","4","9.8000000000000007","0.80000000000000004","470","3","97.900000000000006","0.40000000000000002","71","4","14.699999999999999","0.90000000000000002","28","3","5.7999999999999998","0.59999999999999998","469","3","97.700000000000003","0.40000000000000002","269","7","56.100000000000001","1.3999999999999999","71","4","14.699999999999999","0.90000000000000002","58","3","12.1","0.69999999999999996","1","1","0.29999999999999999","0.10000000000000001"
"California","All persons","39047","5","36250","35","92.799999999999997","0.10000000000000001","24824","74","63.600000000000001","0.20000000000000001","20288","83","52","0.20000000000000001","4913","50","12.6","0.10000000000000001","679","16","1.7","Z","14992","71","38.399999999999999","0.20000000000000001","10383","73","26.600000000000001","0.20000000000000001","1077","24","2.7999999999999998","0.10000000000000001","5887","26","15.1","0.10000000000000001","2638","22","6.7999999999999998","0.10000000000000001","1506","20","3.8999999999999999","0.10000000000000001","601","13","1.5","Z","2797","34","7.2000000000000002","0.10000000000000001"
NA,"Under 65 years","33637","7","30898","35","91.900000000000006","0.10000000000000001","22107","71","65.700000000000003","0.20000000000000001","18646","79","55.399999999999999","0.20000000000000001","3675","43","10.9","0.10000000000000001","457","16","1.3999999999999999","Z","9881","70","29.399999999999999","0.20000000000000001","9256","72","27.5","0.20000000000000001","842","22","2.5","0.10000000000000001","784","23","2.2999999999999998","0.10000000000000001","166","7","0.5","Z","379","14","1.1000000000000001","Z","283","9","0.80000000000000004","Z","2739","34","8.0999999999999996","0.10000000000000001"
NA,"Under 19 years","9567","12","9267","16","96.900000000000006","0.10000000000000001","5448","35","56.899999999999999","0.40000000000000002","4673","35","48.799999999999997","0.40000000000000002","760","18","7.9000000000000004","0.20000000000000001","156","9","1.6000000000000001","0.10000000000000001","4195","36","43.799999999999997","0.40000000000000002","4125","38","43.100000000000001","0.40000000000000002","367","14","3.7999999999999998","0.10000000000000001","107","9","1.1000000000000001","0.10000000000000001","12","2","0.10000000000000001","Z","41","5","0.40000000000000002","0.10000000000000001","7","2","0.10000000000000001","Z","301","12","3.1000000000000001","0.10000000000000001"
NA,"19 - 64 years","24069","14","21631","33","89.900000000000006","0.10000000000000001","16660","52","69.200000000000003","0.20000000000000001","13972","58","58.100000000000001","0.20000000000000001","2915","33","12.1","0.10000000000000001","301","10","1.3","Z","5686","48","23.600000000000001","0.20000000000000001","5131","45","21.300000000000001","0.20000000000000001","475","14","2","0.10000000000000001","677","19","2.7999999999999998","0.10000000000000001","154","7","0.59999999999999998","Z","338","12","1.3999999999999999","0.10000000000000001","276","10","1.1000000000000001","Z","2438","30","10.1","0.10000000000000001"
NA,"65 years and over","5410","4","5353","7","98.900000000000006","0.10000000000000001","2717","22","50.200000000000003","0.40000000000000002","1642","18","30.399999999999999","0.29999999999999999","1238","17","22.899999999999999","0.29999999999999999","222","7","4.0999999999999996","0.10000000000000001","5111","10","94.5","0.20000000000000001","1127","15","20.800000000000001","0.29999999999999999","235","7","4.2999999999999998","0.10000000000000001","5104","10","94.299999999999997","0.20000000000000001","2472","22","45.700000000000003","0.40000000000000002","1127","15","20.800000000000001","0.29999999999999999","318","8","5.9000000000000004","0.10000000000000001","58","4","1.1000000000000001","0.10000000000000001"
"Colorado","All persons","5514","3","5100","13","92.5","0.20000000000000001","3862","24","70","0.40000000000000002","3054","27","55.399999999999999","0.5","769","19","13.9","0.29999999999999999","235","11","4.2999999999999998","0.20000000000000001","1832","25","33.200000000000003","0.40000000000000002","1078","25","19.5","0.5","153","8","2.7999999999999998","0.10000000000000001","830","7","15.1","0.10000000000000001","449","7","8.0999999999999996","0.10000000000000001","134","5","2.3999999999999999","0.10000000000000001","138","6","2.5","0.10000000000000001","414","13","7.5","0.20000000000000001"
NA,"Under 65 years","4755","4","4347","13","91.400000000000006","0.29999999999999999","3418","23","71.900000000000006","0.5","2828","26","59.5","0.5","536","17","11.300000000000001","0.40000000000000002","173","11","3.6000000000000001","0.20000000000000001","1106","24","23.300000000000001","0.5","992","25","20.899999999999999","0.5","116","8","2.3999999999999999","0.20000000000000001","105","6","2.2000000000000002","0.10000000000000001","32","3","0.69999999999999996","0.10000000000000001","48","4","1","0.10000000000000001","71","5","1.5","0.10000000000000001","408","13","8.5999999999999996","0.29999999999999999"
NA,"Under 19 years","1334","4","1277","7","95.700000000000003","0.40000000000000002","847","14","63.5","1","700","15","52.5","1.1000000000000001","111","8","8.3000000000000007","0.59999999999999998","60","6","4.5","0.5","480","16","35.899999999999999","1.2","473","15","35.399999999999999","1.2","49","5","3.7000000000000002","0.40000000000000002","10","2","0.80000000000000004","0.20000000000000001","1","Z","0.10000000000000001","Z","5","1","0.29999999999999999","0.10000000000000001","1","1","0.10000000000000001","0.10000000000000001","57","5","4.2999999999999998","0.40000000000000002"
NA,"19 - 64 years","3421","5","3070","11","89.700000000000003","0.29999999999999999","2571","13","75.099999999999994","0.40000000000000002","2127","15","62.200000000000003","0.40000000000000002","425","11","12.4","0.29999999999999999","113","7","3.2999999999999998","0.20000000000000001","627","13","18.300000000000001","0.40000000000000002","520","13","15.199999999999999","0.40000000000000002","67","4","2","0.10000000000000001","95","5","2.7999999999999998","0.20000000000000001","31","3","0.90000000000000002","0.10000000000000001","44","4","1.3","0.10000000000000001","69","5","2","0.10000000000000001","351","11","10.300000000000001","0.29999999999999999"
NA,"65 years and over","759","2","753","2","99.200000000000003","0.20000000000000001","444","7","58.5","0.90000000000000002","226","7","29.800000000000001","0.90000000000000002","233","7","30.699999999999999","1","62","3","8.1999999999999993","0.40000000000000002","726","3","95.700000000000003","0.40000000000000002","86","5","11.300000000000001","0.59999999999999998","37","3","4.9000000000000004","0.40000000000000002","725","4","95.599999999999994","0.40000000000000002","417","7","54.899999999999999","0.90000000000000002","86","5","11.300000000000001","0.59999999999999998","67","4","8.8000000000000007","0.5","6","2","0.80000000000000004","0.20000000000000001"
"Connecticut","All persons","3537","1","3343","12","94.5","0.29999999999999999","2524","21","71.400000000000006","0.59999999999999998","2124","20","60.100000000000001","0.59999999999999998","470","11","13.300000000000001","0.29999999999999999","46","5","1.3","0.10000000000000001","1243","21","35.200000000000003","0.59999999999999998","724","21","20.5","0.59999999999999998","106","7","3","0.20000000000000001","628","6","17.800000000000001","0.20000000000000001","353","6","10","0.20000000000000001","123","7","3.5","0.20000000000000001","53","3","1.5","0.10000000000000001","194","12","5.5","0.29999999999999999"
NA,"Under 65 years","2957","2","2767","12","93.599999999999994","0.40000000000000002","2169","20","73.299999999999997","0.69999999999999996","1909","19","64.599999999999994","0.59999999999999998","292","10","9.9000000000000004","0.29999999999999999","30","4","1","0.10000000000000001","691","20","23.399999999999999","0.69999999999999996","639","20","21.600000000000001","0.69999999999999996","68","6","2.2999999999999998","0.20000000000000001","76","5","2.6000000000000001","0.20000000000000001","21","2","0.69999999999999996","0.10000000000000001","37","4","1.3","0.10000000000000001","17","2","0.59999999999999998","0.10000000000000001","190","12","6.4000000000000004","0.40000000000000002"
NA,"Under 19 years","793","3","769","6","96.900000000000006","0.5","526","9","66.400000000000006","1.2","473","10","59.600000000000001","1.3","55","5","6.9000000000000004","0.59999999999999998","11","2","1.3999999999999999","0.29999999999999999","275","11","34.600000000000001","1.3","273","11","34.399999999999999","1.3","32","4","4","0.5","3","1","0.40000000000000002","0.20000000000000001","1","1","0.20000000000000001","0.10000000000000001","2","1","0.20000000000000001","0.10000000000000001","Z","Z","Z","Z","24","4","3.1000000000000001","0.5"
NA,"19 - 64 years","2164","4","1999","10","92.400000000000006","0.5","1643","15","75.900000000000006","0.59999999999999998","1436","13","66.400000000000006","0.59999999999999998","237","9","11","0.40000000000000002","19","2","0.90000000000000002","0.10000000000000001","416","13","19.199999999999999","0.59999999999999998","365","13","16.899999999999999","0.59999999999999998","36","4","1.7","0.20000000000000001","73","5","3.3999999999999999","0.20000000000000001","20","2","0.90000000000000002","0.10000000000000001","35","3","1.6000000000000001","0.20000000000000001","17","2","0.80000000000000004","0.10000000000000001","165","10","7.5999999999999996","0.5"
NA,"65 years and over","579","1","575","2","99.299999999999997","0.29999999999999999","355","7","61.299999999999997","1.1000000000000001","216","6","37.200000000000003","1.1000000000000001","177","6","30.600000000000001","1","16","2","2.7999999999999998","0.40000000000000002","553","3","95.299999999999997","0.5","85","6","14.800000000000001","1","37","3","6.5","0.59999999999999998","552","3","95.200000000000003","0.5","332","6","57.299999999999997","1","85","6","14.800000000000001","1","36","2","6.2000000000000002","0.40000000000000002","4","2","0.69999999999999996","0.29999999999999999"
"Delaware","All persons","947","1","896","6","94.599999999999994","0.59999999999999998","697","12","73.599999999999994","1.3","590","13","62.299999999999997","1.3999999999999999","118","7","12.5","0.69999999999999996","35","4","3.7000000000000002","0.40000000000000002","345","11","36.5","1.2","175","10","18.5","1.1000000000000001","34","4","3.6000000000000001","0.40000000000000002","190","4","20.100000000000001","0.5","118","4","12.5","0.40000000000000002","27","3","2.8999999999999999","0.40000000000000002","22","3","2.2999999999999998","0.29999999999999999","51","5","5.4000000000000004","0.59999999999999998"
NA,"Under 65 years","778","1","728","5","93.599999999999994","0.69999999999999996","584","11","75.099999999999994","1.3999999999999999","518","12","66.599999999999994","1.5","65","6","8.4000000000000004","0.80000000000000004","22","4","2.8999999999999999","0.5","181","11","23.300000000000001","1.3999999999999999","160","10","20.600000000000001","1.3","26","4","3.3999999999999999","0.5","26","4","3.2999999999999998","0.5","9","2","1.2","0.20000000000000001","12","3","1.6000000000000001","0.40000000000000002","10","2","1.2","0.29999999999999999","50","5","6.4000000000000004","0.69999999999999996"
NA,"Under 19 years","218","2","211","2","96.5","1","145","6","66.599999999999994","2.6000000000000001","130","6","59.700000000000003","2.7000000000000002","13","2","5.7999999999999998","1.1000000000000001","8","2","3.5","0.90000000000000002","77","6","35.399999999999999","2.6000000000000001","77","6","35.100000000000001","2.6000000000000001","12","2","5.5","1.1000000000000001","2","1","1.1000000000000001","0.69999999999999996","1","Z","0.20000000000000001","0.20000000000000001","2","1","0.80000000000000004","0.69999999999999996","Z","Z","0.20000000000000001","0.20000000000000001","8","2","3.5","1"
NA,"19 - 64 years","560","2","518","5","92.5","0.69999999999999996","439","8","78.400000000000006","1.2","388","8","69.299999999999997","1.3999999999999999","52","5","9.4000000000000004","0.90000000000000002","15","3","2.6000000000000001","0.5","104","7","18.600000000000001","1.2","83","6","14.9","1.1000000000000001","14","2","2.5","0.40000000000000002","24","3","4.2000000000000002","0.5","9","2","1.5","0.29999999999999999","10","2","1.8999999999999999","0.40000000000000002","9","2","1.7","0.29999999999999999","42","4","7.5","0.69999999999999996"
NA,"65 years and over","169","1","168","1","99.099999999999994","0.5","113","3","66.700000000000003","1.8999999999999999","72","4","42.5","2","53","3","31.5","2","13","2","7.7999999999999998","1.2","164","1","97","0.69999999999999996","15","2","8.9000000000000004","1","8","1","4.7999999999999998","0.69999999999999996","164","1","97","0.69999999999999996","109","3","64.599999999999994","1.8999999999999999","15","2","8.9000000000000004","1","12","1","7.2000000000000002","0.80000000000000004","2","1","0.90000000000000002","0.5"
