"Table with row headers in column A and column headers in rows 5 through 9","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"Table HI05. Health Insurance Coverage Status and Type of Coverage by State and Age for All People: 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/acs/tech_docs/accuracy/ACS_Accuracy_of_Data_2017.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nation/State","Characteristic","Total",NA,"Covered by any heatlth insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by government health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Employment-based",NA,NA,NA,"Direct Purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also covered by private insurance",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA
NA,NA,"Number","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA
"United States","All persons","320775","15","292756","184","91.299999999999997","0.10000000000000001","216952","419","67.599999999999994","0.10000000000000001","176319","358","55","0.10000000000000001","43406","189","13.5","0.10000000000000001","8640","79","2.7000000000000002","Z","113720","218","35.5","0.10000000000000001","66131","236","20.600000000000001","0.10000000000000001","9184","67","2.8999999999999999","Z","55473","60","17.300000000000001","Z","29971","88","9.3000000000000007","Z","10597","50","3.2999999999999998","Z","7290","53","2.2999999999999998","Z","28019","188","8.6999999999999993","0.10000000000000001"
NA,"Under 65 years","271275","31","243641","170","89.799999999999997","0.10000000000000001","187459","374","69.099999999999994","0.10000000000000001","160428","320","59.100000000000001","0.10000000000000001","27874","162","10.300000000000001","0.10000000000000001","5752","67","2.1000000000000001","Z","66206","231","24.399999999999999","0.10000000000000001","59301","229","21.899999999999999","0.10000000000000001","6815","59","2.5","Z","8023","53","3","Z","2109","25","0.80000000000000004","Z","3767","34","1.3999999999999999","Z","3322","37","1.2","Z","27633","184","10.199999999999999","0.10000000000000001"
NA,"Under 19 years","78075","55","74151","68","95","0.10000000000000001","46812","150","60","0.20000000000000001","40583","131","52","0.20000000000000001","5681","60","7.2999999999999998","0.10000000000000001","1879","34","2.3999999999999999","Z","30476","156","39","0.20000000000000001","30132","155","38.600000000000001","0.20000000000000001","3057","41","3.8999999999999999","0.10000000000000001","520","18","0.69999999999999996","Z","83","6","0.10000000000000001","Z","239","10","0.29999999999999999","Z","96","7","0.10000000000000001","Z","3925","51","5","0.10000000000000001"
