State,Area,Percentage of people fully vaccinated
Wisconsin,Waukesha County,0.6802
Wisconsin,Waupaca County,0.5335
Wisconsin,Waushara County,0.4545
Wisconsin,Winnebago County,0.6075
Wisconsin,Wood County,0.5717
Wyoming,Albany County,0.5947
Wyoming,Big Horn County,0.4054
Wyoming,Campbell County,0.312
Wyoming,Carbon County,0.4605
Wyoming,Converse County,0.3488
Wyoming,Crook County,0.3294
Wyoming,Fremont County,0.5427
Wyoming,Goshen County,0.4088
Wyoming,Hot Springs County,0.4829
Wyoming,Johnson County,0.4408
Wyoming,Laramie County,0.6004
Wyoming,Lincoln County,0.4755
Wyoming,Natrona County,0.4712
Wyoming,Niobrara County,0.3088
Wyoming,Park County,0.4792
Wyoming,Platte County,0.4152
Wyoming,Sheridan County,0.5573
Wyoming,Sublette County,0.3833
Wyoming,Sweetwater County,0.5036
Wyoming,Teton County,0.9796
Wyoming,Uinta County,0.5265
Wyoming,Washakie County,0.4323
Wyoming,Weston County,0.3794
