"Table with row headers in column A and column headers in rows 5 through 9","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"Table HI05. Health Insurance Coverage Status and Type of Coverage by State and Age for All People: 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/acs/tech_docs/accuracy/ACS_Accuracy_of_Data_2018.pdf>.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nation/State","Characteristic","Total",NA,"Covered by any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Employment-based",NA,NA,NA,"Direct Purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also covered by private insurance",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA
NA,NA,"Number","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,"Number","Margin of Error","Percent","Margin of Error","Number","Margin of Error","Percent","Margin of Error",NA,NA,NA,NA,NA,NA,NA,NA
"United States","All persons","322249","15","293684","178","91.099999999999994","0.10000000000000001","217623","404","67.5","0.10000000000000001","177740","354","55.200000000000003","0.10000000000000001","43191","184","13.4","0.10000000000000001","8767","79","2.7000000000000002","Z","114750","205","35.600000000000001","0.10000000000000001","65965","234","20.5","0.10000000000000001","9336","71","2.8999999999999999","Z","56869","63","17.600000000000001","Z","30578","94","9.5","Z","10902","55","3.3999999999999999","Z","7477","44","2.2999999999999998","Z","28566","183","8.9000000000000004","0.10000000000000001"
NA,"Under 65 years","271112","29","242948","162","89.599999999999994","0.10000000000000001","187436","354","69.099999999999994","0.10000000000000001","161423","314","59.5","0.10000000000000001","27131","147","10","0.10000000000000001","5817","66","2.1000000000000001","Z","65664","218","24.199999999999999","0.10000000000000001","58862","221","21.699999999999999","0.10000000000000001","6857","62","2.5","Z","7851","55","2.8999999999999999","Z","2075","25","0.80000000000000004","Z","3799","35","1.3999999999999999","Z","3420","28","1.3","Z","28165","178","10.4","0.10000000000000001"
NA,"Under 19 years","77817","56","73762","60","94.799999999999997","0.10000000000000001","46654","140","60","0.20000000000000001","40648","120","52.200000000000003","0.20000000000000001","5475","59","7","0.10000000000000001","1906","32","2.3999999999999999","Z","30282","144","38.899999999999999","0.20000000000000001","29985","141","38.5","0.20000000000000001","3087","40","4","0.10000000000000001","464","19","0.59999999999999998","Z","89","6","0.10000000000000001","Z","231","11","0.29999999999999999","Z","105","9","0.10000000000000001","Z","4055","44","5.2000000000000002","0.10000000000000001"
NA,"19 - 64 years","193295","45","169186","169","87.5","0.10000000000000001","140783","243","72.799999999999997","0.10000000000000001","120775","227","62.5","0.10000000000000001","21656","105","11.199999999999999","0.10000000000000001","3911","46","2","Z","35382","103","18.300000000000001","0.10000000000000001","28878","108","14.9","0.10000000000000001","3770","38","2","Z","7387","48","3.7999999999999998","Z","1986","24","1","Z","3568","31","1.8","Z","3316","28","1.7","Z","24109","152","12.5","0.10000000000000001"
NA,"65 years and over","51137","22","50736","29","99.200000000000003","Z","30186","82","59","0.10000000000000001","16317","76","31.899999999999999","0.10000000000000001","16060","65","31.399999999999999","0.10000000000000001","2950","34","5.7999999999999998","0.10000000000000001","49087","36","96","0.10000000000000001","7103","40","13.9","0.10000000000000001","2479","29","4.7999999999999998","0.10000000000000001","49018","37","95.900000000000006","0.10000000000000001","28503","86","55.700000000000003","0.20000000000000001","7103","40","13.9","0.10000000000000001","4057","30","7.9000000000000004","0.10000000000000001","401","13","0.80000000000000004","Z"
"Alabama","All persons","4810","2","4329","15","90","0.29999999999999999","3202","26","66.599999999999994","0.5","2578","30","53.600000000000001","0.59999999999999998","642","15","13.4","0.29999999999999999","219","12","4.5999999999999996","0.20000000000000001","1790","19","37.200000000000003","0.40000000000000002","946","19","19.699999999999999","0.40000000000000002","153","8","3.2000000000000002","0.20000000000000001","985","9","20.5","0.20000000000000001","540","11","11.199999999999999","0.20000000000000001","195","8","4","0.20000000000000001","138","6","2.8999999999999999","0.10000000000000001","481","15","10","0.29999999999999999"
NA,"Under 65 years","3998","4","3519","15","88","0.40000000000000002","2705","23","67.700000000000003","0.59999999999999998","2314","27","57.899999999999999","0.69999999999999996","387","13","9.6999999999999993","0.29999999999999999","132","10","3.2999999999999998","0.29999999999999999","996","19","24.899999999999999","0.5","836","18","20.899999999999999","0.40000000000000002","105","6","2.6000000000000001","0.20000000000000001","192","8","4.7999999999999998","0.20000000000000001","59","5","1.5","0.10000000000000001","84","6","2.1000000000000001","0.10000000000000001","66","5","1.7","0.10000000000000001","479","15","12","0.40000000000000002"
NA,"Under 19 years","1163","5","1122","7","96.5","0.5","649","14","55.799999999999997","1.2","567","15","48.799999999999997","1.2","67","6","5.7999999999999998","0.5","39","5","3.3999999999999999","0.40000000000000002","513","14","44.100000000000001","1.2","507","14","43.600000000000001","1.2","40","4","3.3999999999999999","0.40000000000000002","8","3","0.69999999999999996","0.29999999999999999","1","Z","0.10000000000000001","Z","3","1","0.20000000000000001","0.10000000000000001","2","1","0.20000000000000001","0.10000000000000001","41","6","3.5","0.5"
NA,"19 - 64 years","2835","6","2397","14","84.5","0.40000000000000002","2055","17","72.5","0.5","1747","19","61.600000000000001","0.59999999999999998","320","12","11.300000000000001","0.40000000000000002","93","7","3.2999999999999998","0.20000000000000001","483","12","17","0.40000000000000002","328","10","11.6","0.40000000000000002","66","4","2.2999999999999998","0.20000000000000001","184","8","6.5","0.29999999999999999","58","5","2.1000000000000001","0.20000000000000001","82","6","2.8999999999999999","0.20000000000000001","64","5","2.2999999999999998","0.20000000000000001","438","12","15.5","0.40000000000000002"
