"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"Georgia","All people","10830","4","9599","26","88.6","0.2","7178","40","66.3","0.4","5741","42","53","0.4","1545","30","14.3","0.3","448","17","4.0999999999999996","0.2","3630","34","33.5","0.3","2036","34","18.8","0.3","370","15","3.4","0.1","1822","11","16.8","0.1","863","15","8","0.1","377","11","3.5","0.1","294","10","2.7","0.1","1233","26","11.4","0.2"
"Georgia",".Under 65 years","9168","6","7952","26","86.7","0.3","6317","37","68.900000000000006","0.4","5243","41","57.2","0.5","1133","27","12.4","0.3","316","17","3.5","0.2","2047","35","22.3","0.4","1781","32","19.399999999999999","0.3","265","13","2.9","0.1","243","8","2.6","0.1","68","5","0.7","0.1","122","6","1.3","0.1","173","8","1.9","0.1","1215","26","13.3","0.3"
"Georgia",".Under 19 years","2684","7","2512","13","93.6","0.4","1521","21","56.7","0.8","1279","22","47.7","0.8","216","12","8","0.4","110","9","4.0999999999999996","0.3","1123","22","41.8","0.8","1109","22","41.3","0.8","128","9","4.8","0.3","19","3","0.7","0.1","3","1","0.1","Z","11","2","0.4","0.1","7","3","0.3","0.1","171","11","6.4","0.4"
"Georgia",".19 - 64 years","6484","8","5440","21","83.9","0.3","4796","27","74","0.4","3965","30","61.1","0.4","917","21","14.1","0.3","207","10","3.2","0.2","924","20","14.3","0.3","672","17","10.4","0.3","137","8","2.1","0.1","223","8","3.4","0.1","66","5","1","0.1","111","6","1.7","0.1","165","8","2.5","0.1","1044","20","16.100000000000001","0.3"
"Georgia",".65 years and over","1665","5","1647","5","98.9","0.1","861","13","51.7","0.8","497","10","29.9","0.6","412","10","24.7","0.6","132","6","7.9","0.4","1583","7","95","0.3","255","10","15.3","0.6","105","6","6.3","0.4","1579","7","94.9","0.3","794","14","47.7","0.8","255","10","15.3","0.6","122","6","7.3","0.4","18","2","1.1000000000000001","0.1"
"Hawaii","All people","1378","3","1334","5","96.8","0.3","1037","12","75.2","0.9","848","15","61.6","1","187","9","13.6","0.7","108","7","7.8","0.5","555","12","40.299999999999997","0.8","281","12","20.399999999999999","0.9","63","6","4.5999999999999996","0.5","300","3","21.8","0.2","199","5","14.4","0.4","45","3","3.2","0.2","39","3","2.8","0.2","44","4","3.2","0.3"
"Hawaii",".Under 65 years","1080","3","1037","5","96","0.4","831","11","77","0.9","695","14","64.3","1.2","114","7","10.5","0.7","83","6","7.7","0.6","274","11","25.3","1","245","11","22.6","1","47","6","4.3","0.5","20","2","1.8","0.2","9","2","0.8","0.2","8","1","0.7","0.1","20","3","1.9","0.2","43","4","4","0.4"
"Hawaii",".Under 19 years","310","2","301","3","97","0.7","214","6","69.2","1.8","164","7","53","2.1","27","3","8.6","1","37","4","12","1.2","109","6","35.1","2","108","6","34.799999999999997","2","22","4","7.1","1.2","1","1","0.3","0.2","1","Z","0.2","0.2","1","Z","0.2","0.1","Z","Z","0.1","0.1","9","2","3","0.7"
"Hawaii",".19 - 64 years","770","3","736","5","95.6","0.5","617","7","80.099999999999994","0.9","530","8","68.900000000000006","1","87","6","11.3","0.8","46","4","6","0.5","165","7","21.4","0.9","137","7","17.7","0.9","25","3","3.2","0.4","18","2","2.4","0.3","8","2","1","0.3","7","1","0.9","0.2","20","2","2.6","0.3","34","4","4.4000000000000004","0.5"
"Hawaii",".65 years and over","298","1","297","1","99.5","0.3","206","4","69.099999999999994","1.4","154","4","51.6","1.4","74","4","24.7","1.4","24","2","8.1999999999999993","0.8","281","2","94.3","0.7","37","3","12.3","1","16","2","5.4","0.6","281","2","94.2","0.7","190","5","63.8","1.5","37","3","12.3","1","18","2","6.2","0.6","1","1","0.5","0.3"
"Idaho","All people","1938","1","1766","10","91.1","0.5","1333","14","68.8","0.7","1044","17","53.9","0.9","303","11","15.6","0.6","66","6","3.4","0.3","693","13","35.700000000000003","0.7","358","13","18.5","0.7","74","6","3.8","0.3","361","4","18.600000000000001","0.2","184","5","9.5","0.2","50","3","2.6","0.2","52","4","2.7","0.2","172","10","8.9","0.5"
"Idaho",".Under 65 years","1604","2","1434","9","89.4","0.6","1151","14","71.8","0.9","976","16","60.9","1","185","10","11.5","0.6","43","5","2.7","0.3","369","13","23","0.8","329","13","20.5","0.8","61","6","3.8","0.4","37","3","2.2999999999999998","0.2","11","2","0.7","0.1","20","2","1.2","0.1","28","3","1.8","0.2","170","10","10.6","0.6"
"Idaho",".Under 19 years","497","3","464","5","93.4","0.8","324","8","65.3","1.5","279","8","56.1","1.6","44","5","8.8000000000000007","0.9","13","3","2.6","0.6","171","7","34.5","1.4","170","7","34.200000000000003","1.4","31","4","6.3","0.9","2","1","0.5","0.3","D","D","D","D","2","1","0.3","0.3","1","Z","0.1","0.1","33","4","6.6","0.8"
"Idaho",".19 - 64 years","1107","3","970","7","87.6","0.6","827","9","74.7","0.8","697","10","63","0.9","141","7","12.7","0.6","30","4","2.7","0.3","197","9","17.8","0.8","158","8","14.3","0.7","30","3","2.7","0.3","35","3","3.1","0.3","D","D","D","D","18","2","1.6","0.2","28","3","2.5","0.3","137","7","12.4","0.6"
"Idaho",".65 years and over","334","2","332","2","99.5","0.2","181","4","54.4","1.2","67","4","20.2","1.1000000000000001","118","4","35.4","1.2","23","2","7","0.6","324","2","97.1","0.5","30","2","9","0.6","13","1","3.9","0.4","324","2","97","0.5","173","4","51.9","1.2","30","2","9","0.6","23","2","7","0.6","2","1","0.5","0.2"
"Illinois","All people","12380","2","11620","21","93.8","0.2","8625","44","69.7","0.4","7362","47","59.5","0.4","1563","23","12.6","0.2","140","8","1.1000000000000001","0.1","4408","39","35.6","0.3","2461","39","19.899999999999999","0.3","338","15","2.7","0.1","2245","11","18.100000000000001","0.1","1127","13","9.1","0.1","370","10","3","0.1","184","8","1.5","0.1","763","22","6.2","0.2"
"Illinois",".Under 65 years","10240","4","9493","21","92.7","0.2","7455","42","72.8","0.4","6713","44","65.599999999999994","0.4","912","22","8.9","0.2","97","6","0.9","0.1","2390","39","23.3","0.4","2198","38","21.5","0.4","257","14","2.5","0.1","229","9","2.2000000000000002","0.1","64","4","0.6","Z","107","6","1","0.1","86","6","0.8","0.1","744","21","7.3","0.2"
"Illinois",".Under 19 years","2866","7","2774","10","96.8","0.3","1859","24","64.900000000000006","0.8","1698","24","59.2","0.8","182","10","6.4","0.3","32","4","1.1000000000000001","0.1","1045","22","36.4","0.8","1035","22","36.1","0.8","127","9","4.4000000000000004","0.3","16","3","0.5","0.1","4","1","0.1","0.1","7","2","0.3","0.1","3","1","0.1","Z","93","8","3.2","0.3"
"Illinois",".19 - 64 years","7371","7","6719","20","91.2","0.2","5596","27","75.900000000000006","0.4","5014","31","68","0.4","729","18","9.9","0.2","65","4","0.9","0.1","1346","26","18.3","0.4","1163","25","15.8","0.3","129","8","1.8","0.1","214","9","2.9","0.1","60","4","0.8","0.1","99","6","1.3","0.1","83","6","1.1000000000000001","0.1","652","18","8.8000000000000007","0.2"
"Illinois",".65 years and over","2141","3","2123","4","99.2","0.1","1170","13","54.6","0.6","650","13","30.3","0.6","652","11","30.4","0.5","43","4","2","0.2","2018","7","94.2","0.3","263","8","12.3","0.4","81","5","3.8","0.2","2015","7","94.1","0.3","1063","13","49.7","0.6","263","8","12.3","0.4","98","5","4.5999999999999996","0.2","18","3","0.8","0.1"
"Indiana","All people","6764","2","6301","19","93.1","0.3","4587","35","67.8","0.5","3867","36","57.2","0.5","855","16","12.6","0.2","111","9","1.6","0.1","2527","26","37.4","0.4","1430","27","21.1","0.4","222","12","3.3","0.2","1260","8","18.600000000000001","0.1","620","10","9.1999999999999993","0.2","219","8","3.2","0.1","145","6","2.1","0.1","464","19","6.9","0.3"
"Indiana",".Under 65 years","5623","4","5165","19","91.8","0.3","3969","33","70.599999999999994","0.6","3567","35","63.4","0.6","487","13","8.6999999999999993","0.2","66","8","1.2","0.1","1429","26","25.4","0.5","1300","26","23.1","0.5","169","10","3","0.2","165","7","2.9","0.1","43","4","0.8","0.1","89","6","1.6","0.1","63","5","1.1000000000000001","0.1","459","19","8.1999999999999993","0.3"
"Indiana",".Under 19 years","1675","5","1576","10","94.1","0.6","1034","16","61.7","0.9","939","18","56.1","1","101","7","6.1","0.4","22","4","1.3","0.2","631","14","37.700000000000003","0.8","626","14","37.4","0.8","86","7","5.0999999999999996","0.4","10","3","0.6","0.2","3","1","0.2","0.1","7","2","0.4","0.1","2","1","0.1","0.1","98","9","5.9","0.6"
"Indiana",".19 - 64 years","3948","6","3588","15","90.9","0.3","2935","23","74.3","0.6","2628","23","66.599999999999994","0.6","386","11","9.8000000000000007","0.3","45","5","1.1000000000000001","0.1","798","18","20.2","0.4","674","17","17.100000000000001","0.4","83","5","2.1","0.1","154","7","3.9","0.2","39","3","1","0.1","82","5","2.1","0.1","62","5","1.6","0.1","360","14","9.1","0.3"
"Indiana",".65 years and over","1141","3","1136","3","99.6","0.1","618","9","54.1","0.8","299","8","26.2","0.7","368","9","32.200000000000003","0.8","44","3","3.9","0.3","1097","5","96.2","0.3","130","5","11.4","0.5","53","4","4.5999999999999996","0.3","1096","5","96","0.3","578","9","50.6","0.8","130","5","11.4","0.5","82","4","7.2","0.3","5","1","0.4","0.1"
"Iowa","All people","3162","1","3003","9","95","0.3","2270","20","71.8","0.6","1842","22","58.3","0.7","501","12","15.8","0.4","59","6","1.9","0.2","1195","15","37.799999999999997","0.5","650","15","20.6","0.5","139","7","4.4000000000000004","0.2","617","5","19.5","0.1","338","6","10.7","0.2","100","5","3.2","0.1","73","3","2.2999999999999998","0.1","159","9","5","0.3"
"Iowa",".Under 65 years","2594","2","2437","9","94","0.3","1933","18","74.5","0.7","1724","21","66.5","0.8","257","12","9.9","0.4","37","5","1.4","0.2","644","15","24.8","0.6","592","15","22.8","0.6","110","7","4.3","0.3","67","4","2.6","0.2","18","2","0.7","0.1","41","4","1.6","0.1","34","3","1.3","0.1","157","9","6","0.3"
"Iowa",".Under 19 years","767","4","741","5","96.6","0.4","504","9","65.7","1.1000000000000001","458","9","59.7","1.3","52","5","6.8","0.6","11","3","1.4","0.4","293","9","38.200000000000003","1.1000000000000001","291","9","38","1.1000000000000001","55","5","7.1","0.7","4","1","0.6","0.2","1","1","0.2","0.1","3","1","0.4","0.2","1","Z","0.1","0.1","26","3","3.4","0.4"
"Iowa",".19 - 64 years","1826","4","1696","9","92.9","0.4","1429","14","78.3","0.7","1266","16","69.3","0.8","204","9","11.2","0.5","27","3","1.5","0.2","352","10","19.2","0.6","300","10","16.399999999999999","0.5","56","5","3","0.3","62","4","3.4","0.2","16","2","0.9","0.1","38","3","2.1","0.2","33","3","1.8","0.2","130","7","7.1","0.4"
"Iowa",".65 years and over","568","2","566","2","99.6","0.1","337","7","59.2","1.1000000000000001","118","4","20.8","0.8","244","6","43","1.1000000000000001","21","2","3.8","0.4","550","2","96.8","0.3","59","4","10.3","0.7","28","2","5","0.4","550","2","96.7","0.3","321","6","56.4","1","59","4","10.3","0.7","39","2","6.9","0.4","2","1","0.4","0.1"
"Kansas","All people","2877","2","2636","10","91.6","0.4","2107","16","73.2","0.5","1670","17","58.1","0.6","479","13","16.7","0.4","108","7","3.7","0.2","911","13","31.7","0.5","421","14","14.7","0.5","94","7","3.3","0.2","534","5","18.5","0.2","295","7","10.3","0.2","72","4","2.5","0.1","69","4","2.4","0.1","240","10","8.4","0.4"
"Kansas",".Under 65 years","2376","4","2140","10","90.1","0.4","1811","15","76.2","0.7","1556","18","65.5","0.8","283","12","11.9","0.5","76","6","3.2","0.3","433","14","18.2","0.6","376","14","15.8","0.6","71","6","3","0.3","56","4","2.4","0.2","18","2","0.8","0.1","26","3","1.1000000000000001","0.1","32","3","1.4","0.1","236","10","9.9","0.4"
"Kansas",".Under 19 years","726","3","686","5","94.4","0.6","495","9","68.099999999999994","1.2","430","10","59.3","1.3","57","5","7.8","0.7","31","3","4.3","0.5","230","9","31.7","1.3","228","9","31.4","1.3","38","4","5.2","0.5","4","2","0.6","0.3","2","1","0.2","0.1","2","2","0.3","0.2","1","Z","0.1","Z","41","5","5.6","0.6"
"Kansas",".19 - 64 years","1650","4","1454","9","88.1","0.5","1316","11","79.8","0.6","1126","12","68.2","0.7","226","8","13.7","0.5","44","4","2.7","0.3","202","7","12.3","0.5","148","7","8.9","0.4","33","3","2","0.2","52","3","3.1","0.2","17","2","1","0.1","24","2","1.4","0.1","32","3","1.9","0.2","196","8","11.9","0.5"
"Kansas",".65 years and over","500","3","496","3","99.2","0.3","295","7","59","1.3","114","5","22.7","1","196","7","39.200000000000003","1.3","32","3","6.4","0.6","478","3","95.5","0.5","46","3","9.1999999999999993","0.6","23","2","4.5","0.4","478","3","95.5","0.5","277","7","55.4","1.3","46","3","9.1999999999999993","0.6","36","3","7.3","0.6","4","1","0.8","0.3"
"Kentucky","All people","4442","2","4201","11","94.6","0.2","2788","25","62.8","0.6","2347","25","52.8","0.6","512","13","11.5","0.3","122","8","2.7","0.2","2006","25","45.2","0.6","1244","25","28","0.6","177","10","4","0.2","899","7","20.2","0.1","439","8","9.9","0.2","180","7","4","0.2","114","6","2.6","0.1","241","11","5.4","0.2"
"Kentucky",".Under 65 years","3661","3","3423","12","93.5","0.3","2357","23","64.400000000000006","0.6","2113","24","57.7","0.6","276","12","7.6","0.3","81","7","2.2000000000000002","0.2","1248","25","34.1","0.7","1132","24","30.9","0.7","132","9","3.6","0.2","142","6","3.9","0.2","28","3","0.8","0.1","68","4","1.9","0.1","54","5","1.5","0.1","238","11","6.5","0.3"
"Kentucky",".Under 19 years","1064","5","1027","6","96.6","0.4","585","12","55","1.1000000000000001","523","12","49.2","1.2","60","7","5.7","0.6","28","4","2.6","0.4","501","14","47.1","1.2","498","14","46.8","1.2","57","5","5.4","0.5","7","1","0.7","0.1","1","Z","0.1","Z","5","1","0.5","0.1","2","1","0.2","0.1","37","4","3.4","0.4"
"Kentucky",".19 - 64 years","2597","6","2396","11","92.3","0.3","1772","17","68.2","0.6","1590","16","61.2","0.6","216","7","8.3000000000000007","0.3","53","5","2","0.2","747","17","28.8","0.6","635","16","24.4","0.6","75","5","2.9","0.2","134","6","5.2","0.2","28","3","1.1000000000000001","0.1","63","4","2.4","0.2","51","4","2","0.2","201","9","7.7","0.3"
"Kentucky",".65 years and over","782","3","778","3","99.5","0.1","431","7","55.2","0.9","234","7","29.9","0.8","235","6","30.1","0.8","41","4","5.3","0.5","758","3","97","0.3","112","5","14.3","0.6","45","3","5.8","0.4","758","3","97","0.3","411","7","52.6","0.9","112","5","14.3","0.6","60","4","7.6","0.5","4","1","0.5","0.1"
"Louisiana","All people","4478","3","4168","14","93.1","0.3","2583","29","57.7","0.7","2120","30","47.3","0.7","543","15","12.1","0.3","120","6","2.7","0.1","2146","27","47.9","0.6","1449","27","32.299999999999997","0.6","194","12","4.3","0.3","879","8","19.600000000000001","0.2","398","9","8.9","0.2","219","7","4.9000000000000004","0.2","101","5","2.2999999999999998","0.1","310","14","6.9","0.3"
"Louisiana",".Under 65 years","3704","4","3399","13","91.8","0.4","2191","29","59.1","0.8","1889","30","51","0.8","348","14","9.4","0.4","76","5","2.1","0.1","1402","27","37.799999999999997","0.7","1309","26","35.299999999999997","0.7","151","11","4.0999999999999996","0.3","135","7","3.6","0.2","30","3","0.8","0.1","80","6","2.1","0.1","51","4","1.4","0.1","305","14","8.1999999999999993","0.4"
"Louisiana",".Under 19 years","1127","5","1078","7","95.7","0.5","534","16","47.4","1.4","458","16","40.700000000000003","1.4","75","7","6.7","0.6","27","4","2.4","0.3","613","15","54.4","1.4","609","16","54.1","1.4","66","8","5.9","0.7","6","2","0.5","0.2","2","1","0.1","0.1","4","1","0.4","0.1","2","1","0.2","0.1","48","6","4.3","0.5"
"Louisiana",".19 - 64 years","2578","7","2321","12","90","0.4","1657","19","64.3","0.7","1431","20","55.5","0.8","272","11","10.6","0.4","49","4","1.9","0.2","789","17","30.6","0.7","700","16","27.1","0.6","85","7","3.3","0.3","129","7","5","0.3","28","3","1.1000000000000001","0.1","76","5","2.9","0.2","50","4","1.9","0.2","257","11","10","0.4"
"Louisiana",".65 years and over","773","3","769","3","99.4","0.2","393","8","50.8","1","231","8","29.9","0.9","195","7","25.2","0.9","44","4","5.7","0.5","744","4","96.2","0.4","140","5","18.100000000000001","0.7","43","3","5.6","0.4","744","4","96.2","0.4","368","8","47.6","1","140","5","18.100000000000001","0.7","49","3","6.4","0.4","5","1","0.6","0.2"
"Maine","All people","1378","1","1297","5","94.1","0.4","930","12","67.5","0.8","737","11","53.4","0.8","211","8","15.3","0.6","42","4","3","0.3","577","11","41.9","0.8","293","11","21.3","0.8","59","4","4.3","0.3","341","4","24.7","0.3","163","5","11.8","0.4","73","4","5.3","0.3","47","3","3.4","0.2","81","5","5.9","0.4"
"Maine",".Under 65 years","1069","2","989","6","92.5","0.5","767","11","71.8","1","656","11","61.4","1","121","7","11.3","0.7","21","3","2","0.3","278","11","26","1","246","11","23","1","40","4","3.7","0.3","42","4","3.9","0.3","10","1","0.9","0.1","25","2","2.4","0.2","20","2","1.9","0.2","80","5","7.5","0.5"
"Maine",".Under 19 years","261","2","250","3","95.8","0.8","171","6","65.400000000000006","2.4","150","6","57.5","2.1","22","3","8.5","1.2","4","1","1.6","0.5","96","6","36.700000000000003","2.1","94","6","36","2.2000000000000002","16","2","6.2","0.7","2","1","0.8","0.4","1","Z","0.2","0.1","Z","Z","0.1","0.1","Z","Z","0.1","0.1","11","2","4.2","0.8"
"Maine",".19 - 64 years","808","3","739","5","91.4","0.5","596","7","73.8","0.8","506","7","62.6","0.9","99","6","12.3","0.7","17","2","2.1","0.3","182","7","22.6","0.9","152","7","18.8","0.9","24","3","3","0.3","40","3","4.9000000000000004","0.4","9","1","1.1000000000000001","0.2","25","2","3.1","0.3","20","2","2.5","0.3","69","4","8.6","0.5"
"Maine",".65 years and over","309","1","308","1","99.6","0.2","163","5","52.7","1.7","81","4","26.1","1.3","89","4","28.9","1.4","21","2","6.7","0.7","299","2","96.6","0.6","48","3","15.4","0.8","19","2","6.1","0.6","299","2","96.6","0.6","154","5","49.7","1.6","48","3","15.4","0.8","27","2","8.6","0.6","1","1","0.4","0.2"
"Maryland","All people","6087","4","5706","15","93.7","0.3","4451","29","73.099999999999994","0.5","3765","33","61.9","0.5","812","19","13.3","0.3","220","13","3.6","0.2","2108","27","34.6","0.4","1162","26","19.100000000000001","0.4","203","12","3.3","0.2","1078","9","17.7","0.2","673","9","11.1","0.1","193","9","3.2","0.1","124","6","2","0.1","381","15","6.3","0.3"
"Maryland",".Under 65 years","5045","4","4672","15","92.6","0.3","3740","28","74.099999999999994","0.6","3262","31","64.7","0.6","516","17","10.199999999999999","0.3","155","11","3.1","0.2","1143","27","22.7","0.5","1028","25","20.399999999999999","0.5","141","11","2.8","0.2","116","8","2.2999999999999998","0.2","34","4","0.7","0.1","60","5","1.2","0.1","69","5","1.4","0.1","373","15","7.4","0.3"
"Maryland",".Under 19 years","1437","5","1370","10","95.3","0.6","948","15","66","1","828","15","57.6","1","109","8","7.6","0.6","54","6","3.7","0.4","482","15","33.6","1","472","14","32.799999999999997","1","59","6","4.0999999999999996","0.5","17","4","1.2","0.3","2","1","0.2","0.1","7","2","0.5","0.2","3","1","0.2","0.1","67","8","4.7","0.6"
"Maryland",".19 - 64 years","3608","7","3302","12","91.5","0.3","2792","19","77.400000000000006","0.5","2434","21","67.5","0.6","407","13","11.3","0.4","101","6","2.8","0.2","661","16","18.3","0.5","557","15","15.4","0.4","82","7","2.2999999999999998","0.2","99","6","2.7","0.2","31","4","0.9","0.1","52","5","1.5","0.1","66","5","1.8","0.1","306","11","8.5","0.3"
"Maryland",".65 years and over","1042","3","1034","3","99.2","0.1","711","9","68.2","0.9","503","10","48.3","0.9","296","8","28.4","0.8","65","4","6.3","0.4","964","5","92.5","0.4","133","7","12.8","0.6","62","4","6","0.4","963","5","92.4","0.4","640","9","61.4","0.8","133","7","12.8","0.6","55","3","5.3","0.3","8","2","0.8","0.1"
"Massachusetts","All people","6934","2","6755","12","97.4","0.2","5071","33","73.099999999999994","0.5","4314","35","62.2","0.5","958","23","13.8","0.3","83","7","1.2","0.1","2632","33","38","0.5","1623","32","23.4","0.5","298","12","4.3","0.2","1296","10","18.7","0.1","720","11","10.4","0.2","317","10","4.5999999999999996","0.1","98","5","1.4","0.1","179","13","2.6","0.2"
"Massachusetts",".Under 65 years","5675","2","5505","12","97","0.2","4303","31","75.8","0.6","3842","35","67.7","0.6","570","20","10","0.4","44","6","0.8","0.1","1459","32","25.7","0.6","1391","32","24.5","0.6","219","11","3.9","0.2","125","8","2.2000000000000002","0.1","30","3","0.5","0.1","86","6","1.5","0.1","37","4","0.7","0.1","171","12","3","0.2"
"Massachusetts",".Under 19 years","1436","4","1415","6","98.5","0.3","998","15","69.5","1","909","15","63.3","1.1000000000000001","105","8","7.3","0.6","13","3","0.9","0.2","508","16","35.4","1.1000000000000001","505","16","35.200000000000003","1.1000000000000001","88","7","6.2","0.5","7","2","0.5","0.1","2","1","0.1","0.1","5","2","0.4","0.1","2","1","0.1","0.1","21","4","1.5","0.3"
"Massachusetts",".19 - 64 years","4239","5","4089","11","96.5","0.3","3305","22","78","0.5","2933","25","69.2","0.6","465","16","11","0.4","30","4","0.7","0.1","951","20","22.4","0.5","887","20","20.9","0.5","131","7","3.1","0.2","118","7","2.8","0.2","29","3","0.7","0.1","80","6","1.9","0.1","35","4","0.8","0.1","150","11","3.5","0.3"
"Massachusetts",".65 years and over","1259","1","1250","2","99.3","0.1","768","11","61","0.9","472","10","37.5","0.8","388","9","30.8","0.7","39","4","3.1","0.3","1173","6","93.2","0.5","231","8","18.399999999999999","0.6","79","5","6.3","0.4","1171","6","93.1","0.5","689","10","54.8","0.8","231","8","18.399999999999999","0.6","61","4","4.8","0.3","8","2","0.7","0.1"
"Michigan","All people","9932","1","9483","14","95.5","0.1","6940","30","69.900000000000006","0.3","5931","35","59.7","0.4","1261","21","12.7","0.2","134","7","1.4","0.1","4106","32","41.3","0.3","2369","32","23.9","0.3","445","15","4.5","0.1","2078","10","20.9","0.1","1220","11","12.3","0.1","398","10","4","0.1","182","6","1.8","0.1","448","14","4.5","0.1"
"Michigan",".Under 65 years","8041","3","7601","14","94.5","0.2","5736","29","71.3","0.4","5144","32","64","0.4","708","19","8.8000000000000007","0.2","76","6","0.9","0.1","2278","31","28.3","0.4","2115","32","26.3","0.4","331","14","4.0999999999999996","0.2","251","9","3.1","0.1","71","5","0.9","0.1","143","6","1.8","0.1","76","5","1","0.1","440","14","5.5","0.2"
"Michigan",".Under 19 years","2242","5","2175","8","97","0.3","1458","17","65","0.8","1340","18","59.8","0.8","130","8","5.8","0.3","26","3","1.1000000000000001","0.1","882","18","39.299999999999997","0.8","875","18","39","0.8","163","9","7.3","0.4","14","3","0.6","0.1","3","1","0.1","Z","9","3","0.4","0.1","3","1","0.1","0.1","66","6","3","0.3"
"Michigan",".19 - 64 years","5799","6","5426","13","93.6","0.2","4278","21","73.8","0.4","3805","24","65.599999999999994","0.4","578","15","10","0.3","50","4","0.9","0.1","1396","20","24.1","0.3","1240","20","21.4","0.3","167","8","2.9","0.1","237","8","4.0999999999999996","0.1","68","4","1.2","0.1","134","5","2.2999999999999998","0.1","74","5","1.3","0.1","374","11","6.4","0.2"
"Michigan",".65 years and over","1891","3","1882","3","99.6","0.1","1204","10","63.7","0.5","787","10","41.6","0.5","553","11","29.2","0.6","59","3","3.1","0.2","1828","5","96.7","0.2","255","7","13.5","0.4","115","5","6.1","0.3","1827","5","96.6","0.2","1149","10","60.8","0.5","255","7","13.5","0.4","106","5","5.6","0.2","8","2","0.4","0.1"
"Minnesota","All people","5678","1","5440","10","95.8","0.2","4260","27","75","0.5","3496","25","61.6","0.4","907","17","16","0.3","84","7","1.5","0.1","1992","24","35.1","0.4","1047","25","18.399999999999999","0.4","194","10","3.4","0.2","1038","7","18.3","0.1","633","9","11.2","0.2","130","5","2.2999999999999998","0.1","128","4","2.2999999999999998","0.1","238","11","4.2","0.2"
"Minnesota",".Under 65 years","4688","3","4453","11","95","0.2","3615","26","77.099999999999994","0.6","3250","24","69.3","0.5","448","16","9.6","0.4","50","6","1.1000000000000001","0.1","1043","24","22.2","0.5","959","24","20.5","0.5","158","10","3.4","0.2","89","5","1.9","0.1","26","2","0.6","Z","43","3","0.9","0.1","45","3","1","0.1","235","11","5","0.2"
"Minnesota",".Under 19 years","1370","4","1324","7","96.6","0.4","973","15","71","1.1000000000000001","892","14","65.099999999999994","1","92","6","6.7","0.5","18","3","1.3","0.2","438","15","32","1","436","14","31.8","1","86","7","6.3","0.5","3","1","0.3","0.1","1","1","0.1","Z","2","1","0.2","0.1","2","1","0.1","Z","46","5","3.4","0.4"
"Minnesota",".19 - 64 years","3318","5","3130","10","94.3","0.2","2642","16","79.599999999999994","0.5","2359","16","71.099999999999994","0.5","357","13","10.7","0.4","32","4","1","0.1","605","14","18.2","0.4","523","13","15.8","0.4","72","5","2.2000000000000002","0.1","86","5","2.6","0.1","25","2","0.8","0.1","40","3","1.2","0.1","43","3","1.3","0.1","189","8","5.7","0.2"
"Minnesota",".65 years and over","990","3","987","3","99.7","0.1","645","8","65.2","0.8","245","6","24.8","0.6","458","9","46.3","0.9","35","3","3.5","0.3","949","4","95.9","0.3","88","4","8.9","0.4","36","2","3.6","0.2","948","4","95.8","0.3","607","8","61.3","0.8","88","4","8.9","0.4","84","3","8.5","0.3","3","1","0.3","0.1"
