"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",".Under 19 years","1199","5","1153","7","96.1","0.5","663","14","55.3","1.2","564","15","47.1","1.2","79","7","6.6","0.5","49","5","4.0999999999999996","0.4","548","15","45.7","1.2","542","14","45.2","1.2","56","6","4.5999999999999996","0.5","8","2","0.7","0.2","2","1","0.2","0.1","3","1","0.3","0.1","3","1","0.2","0.1","46","6","3.9","0.5"
"Alabama",".19 - 64 years","2916","7","2539","13","87.1","0.4","2184","16","74.900000000000006","0.5","1836","19","63","0.6","372","14","12.7","0.5","105","8","3.6","0.3","513","13","17.600000000000001","0.4","365","12","12.5","0.4","79","6","2.7","0.2","161","8","5.5","0.3","49","4","1.7","0.1","72","5","2.5","0.2","75","6","2.6","0.2","377","11","12.9","0.4"
"Alabama",".65 years and over","907","3","904","3","99.6","0.1","521","9","57.4","0.9","294","8","32.4","0.9","257","8","28.3","0.9","93","5","10.199999999999999","0.6","877","5","96.6","0.3","130","5","14.4","0.6","58","4","6.4","0.5","876","5","96.5","0.3","493","9","54.4","0.9","130","5","14.4","0.6","68","3","7.5","0.4","4","1","0.4","0.1"
"Alaska","All people","702","3","629","5","89.6","0.7","463","9","66","1.4","379","11","54","1.5","66","5","9.4","0.8","64","6","9.1","0.9","266","9","37.799999999999997","1.3","165","9","23.5","1.3","29","3","4.0999999999999996","0.5","107","2","15.2","0.3","63","3","8.9","0.4","23","2","3.3","0.3","32","3","4.5","0.4","73","5","10.4","0.7"
"Alaska",".Under 65 years","601","3","530","5","88.1","0.8","400","9","66.5","1.6","330","10","54.9","1.6","48","5","8","0.9","52","6","8.6999999999999993","1","169","9","28.1","1.4","147","9","24.5","1.4","23","3","3.9","0.5","10","1","1.7","0.2","3","1","0.5","0.1","6","1","1","0.2","19","2","3.1","0.4","72","5","11.9","0.8"
"Alaska",".Under 19 years","183","2","171","3","93.1","1","110","5","60.2","2.8","86","5","47","2.8","11","3","5.9","1.4","21","4","11.7","2","72","6","39.299999999999997","3.1","71","6","38.9","3.1","11","2","6.2","1.1000000000000001","Z","Z","0.2","0.2","0","0","0","0","Z","Z","0.1","0.1","1","Z","0.3","0.2","13","2","6.9","1"
"Alaska",".19 - 64 years","418","4","359","5","85.9","0.9","290","6","69.3","1.4","244","7","58.4","1.5","37","4","8.9","0.9","31","3","7.4","0.8","97","5","23.2","1.2","76","5","18.2","1.2","12","2","2.8","0.5","10","1","2.4","0.3","3","1","0.6","0.2","6","1","1.4","0.3","18","2","4.4000000000000004","0.5","59","4","14.1","0.9"
"Alaska",".65 years and over","101","1","100","1","98.7","0.5","63","3","62.6","2.5","49","3","48.4","2.9","18","2","18","2.2999999999999998","12","2","11.9","1.7","97","2","95.8","0.8","17","2","17.100000000000001","1.8","6","1","5.9","1","96","2","95.4","0.9","60","3","59.4","2.5","17","2","17.100000000000001","1.8","13","1","12.6","1.4","1","Z","1.3","0.5"
"Arizona","All people","7322","4","6594","26","90.1","0.3","4686","39","64","0.5","3827","42","52.3","0.6","924","23","12.6","0.3","247","12","3.4","0.2","2809","31","38.4","0.4","1501","35","20.5","0.5","233","14","3.2","0.2","1473","8","20.100000000000001","0.1","686","15","9.4","0.2","248","11","3.4","0.1","210","8","2.9","0.1","727","25","9.9","0.3"
"Arizona",".Under 65 years","5903","5","5188","25","87.9","0.4","3979","36","67.400000000000006","0.6","3476","39","58.9","0.7","542","20","9.1999999999999993","0.3","139","11","2.2999999999999998","0.2","1454","31","24.6","0.5","1315","32","22.3","0.5","168","12","2.8","0.2","121","6","2","0.1","32","3","0.5","0.1","62","4","1","0.1","96","6","1.6","0.1","715","24","12.1","0.4"
"Arizona",".Under 19 years","1685","5","1539","12","91.4","0.7","1005","18","59.7","1.1000000000000001","875","21","52","1.2","123","10","7.3","0.6","44","6","2.6","0.3","620","19","36.799999999999997","1.1000000000000001","612","20","36.299999999999997","1.2","83","9","4.9000000000000004","0.5","8","2","0.5","0.1","1","1","0.1","Z","5","2","0.3","0.1","5","2","0.3","0.1","145","11","8.6","0.7"
"Arizona",".19 - 64 years","4219","6","3649","19","86.5","0.4","2974","27","70.5","0.6","2600","26","61.6","0.6","419","14","9.9","0.3","95","7","2.2999999999999998","0.2","834","19","19.8","0.5","703","20","16.7","0.5","85","6","2","0.1","113","6","2.7","0.1","30","3","0.7","0.1","57","4","1.4","0.1","91","6","2.1","0.1","570","18","13.5","0.4"
"Arizona",".65 years and over","1418","2","1406","3","99.1","0.2","706","13","49.8","0.9","351","11","24.8","0.8","382","10","26.9","0.7","108","5","7.6","0.4","1355","5","95.6","0.3","186","9","13.1","0.6","64","5","4.5","0.3","1353","5","95.4","0.3","654","13","46.1","0.9","186","9","13.1","0.6","115","5","8.1","0.3","12","3","0.9","0.2"
"Arkansas","All people","3013","1","2744","13","91.1","0.4","1815","22","60.2","0.7","1426","20","47.3","0.7","419","14","13.9","0.5","93","8","3.1","0.3","1295","19","43","0.6","769","20","25.5","0.7","103","6","3.4","0.2","614","6","20.399999999999999","0.2","275","6","9.1","0.2","121","6","4","0.2","90","5","3","0.2","269","13","8.9","0.4"
"Arkansas",".Under 65 years","2480","3","2214","13","89.3","0.5","1548","20","62.4","0.8","1312","20","52.9","0.8","254","12","10.199999999999999","0.5","57","7","2.2999999999999998","0.3","777","19","31.3","0.8","699","19","28.2","0.8","77","6","3.1","0.2","98","5","4","0.2","21","2","0.8","0.1","52","4","2.1","0.2","40","4","1.6","0.2","266","13","10.7","0.5"
"Arkansas",".Under 19 years","743","4","693","7","93.3","0.9","370","10","49.8","1.3","318","10","42.8","1.4","49","6","6.6","0.8","19","3","2.5","0.5","359","12","48.3","1.5","355","12","47.7","1.6","33","4","4.5","0.5","5","2","0.7","0.2","1","1","0.1","0.1","3","1","0.4","0.2","2","2","0.3","0.2","50","6","6.7","0.9"
"Arkansas",".19 - 64 years","1737","4","1521","10","87.6","0.5","1178","13","67.900000000000006","0.7","994","13","57.2","0.7","205","9","11.8","0.5","39","5","2.2000000000000002","0.3","418","10","24.1","0.6","344","10","19.8","0.6","44","3","2.5","0.2","93","5","5.3","0.3","20","2","1.1000000000000001","0.1","48","4","2.8","0.2","38","3","2.2000000000000002","0.2","216","9","12.4","0.5"
"Arkansas",".65 years and over","533","3","530","3","99.4","0.2","266","6","50","1.1000000000000001","114","5","21.5","0.9","165","5","31","0.8","36","3","6.7","0.6","518","4","97.1","0.5","70","4","13.1","0.8","26","2","4.8","0.4","516","4","96.8","0.5","253","6","47.5","1.1000000000000001","70","4","13.1","0.8","51","3","9.5","0.6","3","1","0.6","0.2"
"California","All people","38500","7","36040","39","93.6","0.1","24400","82","63.4","0.2","20240","78","52.6","0.2","4889","54","12.7","0.1","634","20","1.6","0.1","15500","76","40.299999999999997","0.2","10470","77","27.2","0.2","1314","31","3.4","0.1","6412","22","16.7","0.1","2739","23","7.1","0.1","1623","21","4.2","0.1","557","13","1.4","Z","2458","38","6.4","0.1"
"California",".Under 65 years","32290","8","29900","39","92.6","0.1","21460","78","66.5","0.2","18380","77","56.9","0.2","3570","51","11.1","0.2","415","18","1.3","0.1","9699","76","30","0.2","9179","78","28.4","0.2","1014","31","3.1","0.1","618","16","1.9","0.1","141","9","0.4","Z","329","11","1","Z","282","10","0.9","Z","2392","38","7.4","0.1"
"California",".Under 19 years","8959","10","8674","17","96.8","0.2","5230","39","58.4","0.4","4506","37","50.3","0.4","771","21","8.6","0.2","148","8","1.7","0.1","3918","43","43.7","0.5","3875","44","43.3","0.5","463","20","5.2","0.2","67","7","0.7","0.1","13","3","0.1","Z","34","4","0.4","Z","12","3","0.1","Z","285","14","3.2","0.2"
"California",".19 - 64 years","23330","13","21230","36","91","0.1","16230","52","69.599999999999994","0.2","13880","54","59.5","0.2","2799","35","12","0.2","267","12","1.1000000000000001","0.1","5781","46","24.8","0.2","5304","47","22.7","0.2","551","16","2.4","0.1","551","13","2.4","0.1","128","7","0.5","Z","295","9","1.3","Z","270","9","1.2","Z","2106","34","9","0.1"
"California",".65 years and over","6204","5","6138","7","98.9","0.1","2938","22","47.4","0.3","1861","17","30","0.3","1319","18","21.3","0.3","220","10","3.5","0.2","5803","12","93.5","0.2","1295","18","20.9","0.3","300","10","4.8","0.2","5794","13","93.4","0.2","2598","22","41.9","0.4","1295","18","20.9","0.3","275","9","4.4000000000000004","0.1","67","5","1.1000000000000001","0.1"
"Colorado","All people","5776","4","5389","14","93.3","0.2","4063","29","70.3","0.5","3309","31","57.3","0.5","756","19","13.1","0.3","231","14","4","0.2","1960","26","33.9","0.4","1083","26","18.7","0.5","190","10","3.3","0.2","957","7","16.600000000000001","0.1","444","9","7.7","0.2","150","6","2.6","0.1","145","7","2.5","0.1","387","14","6.7","0.2"
"Colorado",".Under 65 years","4851","5","4469","14","92.1","0.3","3600","28","74.2","0.6","3067","29","63.2","0.6","516","17","10.6","0.4","168","12","3.5","0.3","1079","25","22.2","0.5","973","26","20.100000000000001","0.5","146","9","3","0.2","76","5","1.6","0.1","21","2","0.4","0.1","40","3","0.8","0.1","81","5","1.7","0.1","381","14","7.9","0.3"
"Colorado",".Under 19 years","1282","5","1229","8","95.9","0.4","848","14","66.2","1.1000000000000001","722","15","56.3","1.2","97","8","7.6","0.7","61","7","4.8","0.5","447","14","34.799999999999997","1","440","14","34.299999999999997","1","64","7","5","0.5","7","2","0.6","0.2","2","1","0.1","0.1","2","1","0.2","0.1","2","1","0.2","0.1","53","6","4.0999999999999996","0.4"
"Colorado",".19 - 64 years","3569","8","3240","13","90.8","0.3","2752","18","77.099999999999994","0.5","2346","19","65.7","0.5","419","13","11.7","0.4","107","7","3","0.2","632","15","17.7","0.4","533","16","14.9","0.4","82","5","2.2999999999999998","0.1","69","4","1.9","0.1","19","2","0.5","0.1","37","3","1","0.1","79","5","2.2000000000000002","0.1","328","12","9.1999999999999993","0.3"
"Colorado",".65 years and over","926","3","920","3","99.4","0.1","462","8","49.9","0.9","241","7","26.1","0.8","240","7","25.9","0.7","63","5","6.8","0.5","882","4","95.3","0.4","110","5","11.9","0.6","43","3","4.7","0.3","881","4","95.2","0.4","424","8","45.8","0.9","110","5","11.9","0.6","64","4","6.9","0.4","6","1","0.6","0.1"
"Connecticut","All people","3574","2","3369","13","94.3","0.4","2424","24","67.8","0.7","2063","24","57.7","0.7","443","14","12.4","0.4","44","4","1.2","0.1","1369","21","38.299999999999997","0.6","804","21","22.5","0.6","127","9","3.6","0.3","705","6","19.7","0.2","338","7","9.4","0.2","157","7","4.4000000000000004","0.2","52","4","1.4","0.1","205","13","5.7","0.4"
"Connecticut",".Under 65 years","2902","2","2702","13","93.1","0.4","2071","22","71.400000000000006","0.8","1839","22","63.4","0.8","276","12","9.5","0.4","30","4","1","0.1","735","21","25.3","0.7","689","20","23.7","0.7","82","8","2.8","0.3","72","5","2.5","0.2","17","3","0.6","0.1","42","5","1.4","0.2","20","3","0.7","0.1","200","13","6.9","0.4"
"Connecticut",".Under 19 years","774","4","748","6","96.6","0.6","497","11","64.099999999999994","1.4","445","10","57.4","1.3","57","5","7.4","0.7","11","3","1.4","0.3","288","11","37.200000000000003","1.4","286","11","37","1.4","37","5","4.7","0.6","6","3","0.7","0.3","1","Z","0.1","0.1","4","3","0.5","0.4","1","Z","0.1","0.1","27","5","3.4","0.6"
"Connecticut",".19 - 64 years","2128","4","1955","11","91.9","0.5","1575","16","74","0.8","1394","18","65.5","0.8","219","10","10.3","0.5","19","2","0.9","0.1","447","15","21","0.7","402","14","18.899999999999999","0.6","45","5","2.1","0.2","66","5","3.1","0.2","16","3","0.8","0.1","38","4","1.8","0.2","20","3","0.9","0.1","173","10","8.1","0.5"
"Connecticut",".65 years and over","672","2","666","2","99.2","0.2","353","6","52.6","0.9","224","6","33.299999999999997","0.9","167","6","24.8","1","15","2","2.2000000000000002","0.3","634","3","94.4","0.4","115","6","17.2","0.8","46","4","6.8","0.5","633","3","94.3","0.4","321","7","47.8","1","115","6","17.2","0.8","31","3","4.5999999999999996","0.4","5","2","0.8","0.2"
"Delaware","All people","1018","1","952","8","93.5","0.8","704","14","69.099999999999994","1.3","596","14","58.6","1.4","131","7","12.9","0.7","31","4","3.1","0.4","421","11","41.3","1.1000000000000001","218","12","21.4","1.2","44","4","4.3","0.4","231","3","22.7","0.3","138","4","13.5","0.4","36","4","3.5","0.4","24","3","2.2999999999999998","0.3","66","8","6.5","0.8"
"Delaware",".Under 65 years","802","2","738","8","92","1","567","13","70.7","1.6","508","14","63.3","1.7","66","5","8.3000000000000007","0.7","18","3","2.2000000000000002","0.4","213","11","26.6","1.4","195","12","24.3","1.4","33","4","4.0999999999999996","0.6","24","3","3","0.3","8","2","1","0.2","13","2","1.6","0.3","9","2","1.1000000000000001","0.2","64","8","8","1"
"Delaware",".Under 19 years","227","2","216","4","95.2","1.6","141","7","62.1","2.9","127","6","55.9","2.9","13","3","5.9","1.1000000000000001","6","2","2.5","0.8","90","6","39.6","2.8","89","6","39.4","2.7","15","3","6.5","1.3","2","1","0.8","0.5","Z","Z","0.1","0.1","1","1","0.6","0.4","D","D","D","D","11","4","4.8","1.6"
"Delaware",".19 - 64 years","576","2","522","6","90.7","1","426","9","74","1.4","381","9","66.2","1.5","53","4","9.1999999999999993","0.7","12","2","2.1","0.4","123","7","21.4","1.2","106","7","18.399999999999999","1.2","18","3","3.1","0.5","22","2","3.9","0.4","7","2","1.3","0.3","12","2","2","0.3","D","D","D","D","53","6","9.3000000000000007","1"
"Delaware",".65 years and over","216","1","214","1","99.2","0.4","137","4","63.5","2","89","4","41","1.8","65","4","30","1.8","13","2","6.2","1","207","2","96.1","0.9","23","3","10.7","1.2","11","2","5.3","0.7","207","2","95.8","0.9","130","4","60.3","2","23","3","10.7","1.2","15","2","7","0.9","2","1","0.8","0.4"
